test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,65536,17,1,0,0,0,0,0,0,3.003020,17825520.000000,0,55.019087
osm,1,1,0,1,4,65536,17,1,1,0.000000,0.000000,0.147846,96832.000000,24207.000000,0,0,1.000000,55.019087
osm,1,1,0,1,4,65536,17,1,2,0.000001,0.000000,0.124466,99552.000000,24886.000000,0,0,2.000000,55.019087
osm,1,1,0,1,4,65536,17,1,4,0.000003,0.000000,0.150754,110432.000000,27604.000000,0,0,4.000000,55.019087
osm,1,1,0,1,4,65536,17,1,8,0.000007,0.000000,0.156918,140352.000000,35080.000000,0,0,8.000000,55.019087
osm,1,1,0,1,4,65536,17,1,16,0.000017,0.000000,0.226927,205088.000000,51256.000000,0,0,16.000000,55.019087
osm,1,1,0,1,4,65536,17,1,32,0.000038,0.000000,0.149829,339456.000000,84832.000000,0,0,32.000000,55.019087
osm,1,1,0,1,4,65536,17,1,64,0.000084,0.000000,0.348999,613088.000000,153208.000000,0,0,64.000000,55.019087
osm,1,1,0,1,4,65536,17,1,128,0.000191,0.000000,0.310000,1164160.000000,290912.000000,0,0,128.000000,55.019087
osm,1,1,0,1,4,65536,17,1,256,0.000461,0.000000,0.569559,2270112.000000,567272.000000,0,0,256.000000,55.019087
osm,1,1,0,1,4,65536,17,1,512,0.001163,0.000000,0.902977,4492896.000000,1122712.000000,0,0,512.000000,55.019087
osm,1,1,0,1,4,65536,17,1,1024,0.002882,0.000000,1.572363,8939552.000000,2233864.000000,0,0,1024.000000,55.019087
osm,1,1,0,1,4,65536,17,1,2048,0.007039,0.000000,3.037478,17845920.000000,4459432.000000,0,0,2048.000000,55.019087
osm,1,1,0,1,4,65536,17,1,4096,0.016805,0.000000,5.548638,35664096.000000,8911928.000000,0,0,4096.000000,55.019087
osm,1,1,0,1,4,65536,17,1,8192,0.037359,0.000000,10.400760,71310784.000000,17819504.000000,0,0,8192.000000,55.019087
osm,1,1,0,1,4,65536,17,1,16384,0.087584,0.000000,19.043139,142606336.000000,35635200.000000,0,0,16384.000000,55.019087
