test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,262144,1,1,0,0,0,31.423443,151014480.000000,0,326.766243
ofs,1,1,0,1,4,262144,1,1,1,0.260196,0.307646,0,0,1.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,2,0.276631,0.319778,0,0,2.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,4,0.260372,0.318710,0,0,4.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,8,0.267325,0.326070,0,0,8.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,16,0.280908,0.317027,0,0,16.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,32,0.292263,0.318630,0,0,32.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,64,0.264452,0.276701,0,0,64.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,128,0.285418,0.290335,0,0,128.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,256,0.261463,0.310133,0,0,256.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,512,0.246929,0.323437,0,0,512.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,1024,0.263088,0.309620,0,0,1024.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,2048,0.381016,0.526369,0,0,2048.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,4096,0.520144,0.936650,0,0,4096.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,8192,0.912008,1.717792,0,0,8192.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,16384,1.693777,3.068323,0,0,16384.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,32768,3.103271,5.860287,0,0,32768.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,65536,6.238145,11.518378,0,0,65536.000000,326.766243
ofs,1,1,0,1,4,262144,1,1,131072,12.072291,22.567803,0,0,131072.000000,326.766243
