test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,262144,1,1,0,0,0,31.030951,151182416.000000,0,373.930268
ofs,1,1,0,1,4,262144,1,1,1,0.296241,0.277653,0,0,1.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,2,0.280260,0.305825,0,0,2.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,4,0.291264,0.285710,0,0,4.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,8,0.275753,0.292911,0,0,8.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,16,0.292435,0.283314,0,0,16.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,32,0.279790,0.288368,0,0,32.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,64,0.306501,0.305535,0,0,64.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,128,0.271714,0.291416,0,0,128.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,256,0.290545,0.306610,0,0,256.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,512,0.268536,0.288015,0,0,512.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,1024,0.380254,0.405153,0,0,1024.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,2048,0.580513,0.606587,0,0,2048.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,4096,1.019723,1.060356,0,0,4096.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,8192,1.832403,1.715990,0,0,8192.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,16384,3.442075,2.855007,0,0,16384.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,32768,6.732306,4.975669,0,0,32768.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,65536,13.911897,8.163502,0,0,65536.000000,373.930268
ofs,1,1,0,1,4,262144,1,1,131072,26.730749,13.415762,0,0,131072.000000,373.930268
