test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,131072,2,1,0,0,0,0,0,0,15.883145,75566160.000000,0,22.632111
ofs,1,1,0,1,4,131072,2,1,1,0.202485,2048928.000000,0.386540,3290496.000000,822623.000000,0,0,1.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,2,0.207930,2066688.000000,0.350662,3283776.000000,820942.000000,0,0,2.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,4,0.168476,2038368.000000,0.264133,3283776.000000,820940.000000,0,0,4.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,8,0.197219,2030208.000000,0.311882,3269376.000000,817336.000000,0,0,8.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,16,0.166672,2052768.000000,0.264974,3299616.000000,824888.000000,0,0,16.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,32,0.217293,2047488.000000,0.289515,3287136.000000,821752.000000,0,0,32.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,64,0.160895,2054208.000000,0.323512,3298656.000000,824600.000000,0,0,64.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,128,0.193950,2054688.000000,0.335583,3273216.000000,818176.000000,0,0,128.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,256,0.257382,2057568.000000,0.350787,3290496.000000,822368.000000,0,0,256.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,512,0.208720,2058048.000000,0.308618,3286176.000000,821032.000000,0,0,512.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,1024,0.139761,3399552.000000,0.201800,6015744.000000,1502912.000000,0,0,1024.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,2048,0.147261,6026784.000000,0.191855,6021984.000000,1503448.000000,0,0,2048.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,4096,0.117827,6019104.000000,0.162220,6012384.000000,1499000.000000,0,0,4096.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,8192,0.186872,6020064.000000,0.110856,6016224.000000,1495864.000000,0,0,8192.000000,22.632111
ofs,1,1,0,1,4,131072,2,1,16384,0.180183,6003264.000000,0.139590,6023424.000000,1489472.000000,0,0,16384.000000,22.632111
