test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,262144,19,1,0,0,0,0,0,0,10.349149,71302896.000000,0,1134.142073
osm,1,1,0,1,4,262144,19,1,1,0.000001,0.000000,0.191792,137088.000000,34271.000000,0,0,1.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,2,0.000001,0.000000,0.187003,139445.333333,34859.333333,0,0,2.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,4,0.000002,0.000000,0.175967,149418.666667,37350.666667,0,0,4.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,8,0.000006,0.000000,0.173166,186773.333333,46685.333333,0,0,8.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,16,0.000013,0.000000,0.184288,258400.000000,64584.000000,0,0,16.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,32,0.000037,0.000000,0.219612,404192.000000,101016.000000,0,0,32.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,64,0.000072,0.000000,0.261251,709557.333333,177325.333333,0,0,64.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,128,0.000178,0.000000,0.405709,1329898.666667,332346.666667,0,0,128.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,256,0.000443,0.000000,0.596209,2576565.333333,643885.333333,0,0,256.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,512,0.001033,0.000000,1.025078,5077696.000000,1268912.000000,0,0,512.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,1024,0.002587,0.000000,1.727841,10081952.000000,2519464.000000,0,0,1024.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,2048,0.006414,0.000000,3.251317,20103338.666667,5023786.666667,0,0,2048.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,4096,0.015635,0.000000,6.328756,40147381.333333,10032749.333333,0,0,4096.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,8192,0.036221,0.000000,12.013061,80247253.333333,20053621.333333,0,0,8192.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,16384,0.084943,0.000000,22.037634,160458058.666667,40098130.666667,0,0,16384.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,32768,0.201075,0.000000,44.809756,320881664.000000,80187648.000000,0,0,32768.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,65536,0.465787,0.000000,80.084367,641737397.333333,160368813.333333,0,0,65536.000000,1134.142073
osm,1,1,0,1,4,262144,19,1,131072,1.071104,0.000000,153.626269,1283457024.000000,320733184.000000,0,0,131072.000000,1134.142073
