test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,262144,2,1,0,0,0,0,0,37.273701,692022912.000000,0,48.978866
ofs-update,1,1,0,1,128,262144,2,1,1,0,0,0.291014,7099840.000000,0,0,1.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,2,0,0,0.344408,7107520.000000,0,0,2.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,4,0,0,0.452556,7084000.000000,0,0,4.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,8,0,0,0.340015,7119520.000000,0,0,8.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,16,0,0,0.273209,7103680.000000,0,0,16.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,32,0,0,0.255977,7107040.000000,0,0,32.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,64,0,0,0.301557,7115200.000000,0,0,64.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,128,0.416851,13223360.000000,0.305960,7110880.000000,0,0,128.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,256,0,0,0.243725,7096960.000000,0,0,256.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,512,0.730132,108799776.000000,0.428859,54845088.000000,0,0,512.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,1024,0.687539,108791136.000000,0.370314,54847968.000000,0,0,1024.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,2048,0,0,0.415477,54850848.000000,0,0,2048.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,4096,1.002472,162759264.000000,0.425542,54854688.000000,0,0,4096.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,8192,0,0,0.667031,108826176.000000,0,0,8192.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,16384,0,0,1.243475,216742752.000000,0,0,16384.000000,48.978866
ofs-update,1,1,0,1,128,262144,2,1,32768,0,0,2.476183,432643104.000000,0,0,32768.000000,48.978866
