test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,262144,1,1,0,0,0,33.429333,151014480.000000,0,252.112825
ofs,1,1,0,1,4,262144,1,1,1,0.267049,0.275368,0,0,1.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,2,0.290804,0.289237,0,0,2.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,4,0.272620,0.264897,0,0,4.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,8,0.253649,0.264580,0,0,8.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,16,0.275422,0.309055,0,0,16.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,32,0.277189,0.279281,0,0,32.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,64,0.275825,0.263497,0,0,64.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,128,0.294722,0.314213,0,0,128.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,256,0.294149,0.283519,0,0,256.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,512,0.281724,0.266250,0,0,512.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,1024,0.281843,0.274608,0,0,1024.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,2048,0.378672,0.378656,0,0,2048.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,4096,0.592109,0.594280,0,0,4096.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,8192,0.936420,0.983101,0,0,8192.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,16384,1.647692,1.653755,0,0,16384.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,32768,3.136080,2.866426,0,0,32768.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,65536,6.247355,4.828260,0,0,65536.000000,252.112825
ofs,1,1,0,1,4,262144,1,1,131072,12.255703,7.954704,0,0,131072.000000,252.112825
