test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,262144,1,1,0,0,0,34.781470,151444560.000000,0,1089.539428
ofs,1,1,0,1,4,262144,1,1,1,0.328374,0.347025,0,0,1.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,2,0.313412,0.285049,0,0,2.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,4,0.289612,0.310935,0,0,4.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,8,0.287522,0.309446,0,0,8.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,16,0.294974,0.339346,0,0,16.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,32,0.291953,0.334490,0,0,32.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,64,0.278733,0.330086,0,0,64.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,128,0.311314,0.347070,0,0,128.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,256,0.320230,0.361742,0,0,256.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,512,0.406536,0.496039,0,0,512.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,1024,0.649030,0.924040,0,0,1024.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,2048,1.073299,1.720050,0,0,2048.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,4096,1.966773,3.268783,0,0,4096.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,8192,3.743705,6.812371,0,0,8192.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,16384,7.257050,12.884908,0,0,16384.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,32768,14.499497,25.973299,0,0,32768.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,65536,28.190929,51.984261,0,0,65536.000000,1089.539428
ofs,1,1,0,1,4,262144,1,1,131072,56.847545,104.009564,0,0,131072.000000,1089.539428
