Writing: 285212400 bytes
Stash size= 1048575
Stash size= 551
Stash size= 559
Stash size= 567
Stash size= 599
Stash size= 660
Stash size= 752
Stash size= 881
Stash size= 1263
Stash size= 1986
Stash size= 3521
Stash size= 6495
Stash size= 12358
Stash size= 24173
Stash size= 47070
Stash size= 91511
Stash size= 174637
Stash size= 319117
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,4,1048576,21,1,0,0,0,0,0,0,2.050183,0.000000,0,139.382196
osm,0,0,1,1,4,1048576,21,1,1,0.000001,0.000000,0.024424,88400.000000,22099.000000,0,0,1.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,2,0.000001,0.000000,0.025211,85136.000000,21282.000000,0,0,2.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,4,0.000002,0.000000,0.025935,91392.000000,22844.000000,0,0,4.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,8,0.000007,0.000000,0.025713,102272.000000,25560.000000,0,0,8.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,16,0.000014,0.000000,0.027846,124848.000000,31196.000000,0,0,16.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,32,0.000037,0.000000,0.029863,188496.000000,47092.000000,0,0,32.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,64,0.000072,0.000000,0.033749,287232.000000,71744.000000,0,0,64.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,128,0.000218,0.000000,0.043184,492864.000000,123088.000000,0,0,128.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,256,0.000513,0.000000,0.064633,874480.000000,218364.000000,0,0,256.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,512,0.001103,0.000000,0.098306,1584944.000000,395724.000000,0,0,512.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,1024,0.002595,0.000000,0.169858,2823360.000000,704816.000000,0,0,1024.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,2048,0.006469,0.000000,0.435812,5060560.000000,1263092.000000,0,0,2048.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,4096,0.015670,0.000000,0.495012,9079088.000000,2265676.000000,0,0,4096.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,8192,0.037374,0.000000,0.879109,15922880.000000,3972528.000000,0,0,8192.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,16384,0.090627,0.000000,1.496671,27254944.000000,6797352.000000,0,0,16384.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,32768,0.211479,0.000000,3.139903,45858928.000000,11431964.000000,0,0,32768.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,65536,0.481676,0.000000,4.322666,74272864.000000,18502680.000000,0,0,65536.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,131072,1.126259,0.000000,0,0,0,0,0,131072.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,262144,2.633192,0.000000,0,0,0,0,0,262144.000000,139.382196
osm,0,0,1,1,4,1048576,21,1,524288,5.940205,0.000000,0,0,0,0,0,524288.000000,139.382196
