test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,1,1,64,1024,11,1,1,0.00648826,0.00629845,0.0132182,0.350485
ofs,0,0,1,1,64,1024,11,1,2,0.0119449,0.00681317,0.0108336,0.350485
ofs,0,0,1,1,64,1024,11,1,4,0.0123368,0.00680409,0.0130426,0.350485
ofs,0,0,1,1,64,1024,11,1,8,0.0111941,0.00688337,0.0128441,0.350485
ofs,0,0,1,1,64,1024,11,1,16,0.0125825,0.00616896,0.0127596,0.350485
ofs,0,0,1,1,64,1024,11,1,32,0.0118475,0.0066847,0.0113614,0.350485
ofs,0,0,1,1,64,1024,11,1,64,0.0107943,0.0065473,0.0128077,0.350485
ofs,0,0,1,1,64,1024,11,1,128,0.0109289,0.00611092,0.0118066,0.350485
ofs,0,0,1,1,64,1024,11,1,256,0.0122637,0.0058569,0.0118384,0.350485
ofs,0,0,1,1,64,1024,11,1,512,0.0115764,0.00619108,0.0116718,0.350485
ofs,0,0,1,1,64,1024,3,8,1,0.0114861,0.0367545,0.0255155,2.07695
ofs,0,0,1,1,64,1024,3,8,2,0.0407819,0.0793943,0.0402872,2.07695
ofs,0,0,1,1,64,1024,3,8,4,0.0919007,0.150677,0.0702,2.07695
ofs,0,0,1,1,64,1024,3,8,8,0.183779,0.264568,0.128111,2.07695
ofs,0,0,1,1,64,1024,3,8,16,0.0185218,0.0275871,0.0180334,2.07695
ofs,0,0,1,1,64,1024,3,8,32,0.0339492,0.0423229,0.0253212,2.07695
ofs,0,0,1,1,64,1024,3,8,64,0.0587228,0.082208,0.0409036,2.07695
ofs,0,0,1,1,64,1024,3,8,128,0.089505,0.174171,0.0859936,2.07695
ofs,0,0,1,1,64,1024,3,8,256,0.0274993,0.037668,0.0228195,2.07695
ofs,0,0,1,1,64,1024,3,8,512,0.0438103,0.0654853,0.0353343,2.07695
omap,0,0,1,1,64,1024,11,1,1,0.00318407,0.00572785,0.00700276,1.16132
omap,0,0,1,1,64,1024,11,1,2,0.00828919,0.0113356,0.00960443,1.16132
omap,0,0,1,1,64,1024,11,1,4,0.0140202,0.0194357,0.0195635,1.16132
omap,0,0,1,1,64,1024,11,1,8,0.0214321,0.0288463,0.0261275,1.16132
omap,0,0,1,1,64,1024,11,1,16,0.0333403,0.0393341,0.0446369,1.16132
omap,0,0,1,1,64,1024,11,1,32,0.049829,0.0518717,0.0531996,1.16132
omap,0,0,1,1,64,1024,11,1,64,0.0549919,0.0515376,0.0566809,1.16132
omap,0,0,1,1,64,1024,11,1,128,0.0575814,0.0573689,0.0560884,1.16132
omap,0,0,1,1,64,1024,11,1,256,0.0598704,0.0585964,0.0605241,1.16132
omap,0,0,1,1,64,1024,11,1,512,0.0672056,0.0705489,0.0614369,1.16132
ofs,0,0,1,1,64,32768,16,1,1,0.0171915,0.0158467,0.0301464,1.33133
ofs,0,0,1,1,64,32768,16,1,2,0.0270363,0.0187435,0.0299409,1.33133
ofs,0,0,1,1,64,32768,16,1,4,0.027727,0.0163329,0.0270155,1.33133
ofs,0,0,1,1,64,32768,16,1,8,0.0251183,0.015192,0.0249882,1.33133
ofs,0,0,1,1,64,32768,16,1,16,0.0269803,0.0145536,0.0292934,1.33133
ofs,0,0,1,1,64,32768,16,1,32,0.0274684,0.0127232,0.0294498,1.33133
ofs,0,0,1,1,64,32768,16,1,64,0.0260941,0.0160613,0.0320649,1.33133
ofs,0,0,1,1,64,32768,16,1,128,0.0243151,0.0136533,0.0321048,1.33133
ofs,0,0,1,1,64,32768,16,1,256,0.0287439,0.0156933,0.0308173,1.33133
ofs,0,0,1,1,64,32768,16,1,512,0.0287717,0.0162625,0.0285107,1.33133
ofs,0,0,1,1,64,32768,4,8,1,0.0359426,0.0955817,0.059466,5.214
ofs,0,0,1,1,64,32768,4,8,2,0.109804,0.177215,0.0945708,5.214
ofs,0,0,1,1,64,32768,4,8,4,0.21803,0.326264,0.165211,5.214
ofs,0,0,1,1,64,32768,4,8,8,0.39651,0.646813,0.277893,5.214
ofs,0,0,1,1,64,32768,4,8,16,0.0538062,0.0705613,0.0469392,5.214
ofs,0,0,1,1,64,32768,4,8,32,0.0913757,0.12741,0.0717779,5.214
ofs,0,0,1,1,64,32768,4,8,64,0.141958,0.234521,0.119694,5.214
ofs,0,0,1,1,64,32768,4,8,128,0.292928,0.441285,0.211179,5.214
ofs,0,0,1,1,64,32768,4,8,256,0.0441775,0.0606124,0.0402704,5.214
ofs,0,0,1,1,64,32768,4,8,512,0.0718204,0.0937124,0.0662519,5.214
omap,0,0,1,1,64,32768,16,1,1,0.00859706,0.0140984,0.0119756,12.5449
omap,0,0,1,1,64,32768,16,1,2,0.0177578,0.0259805,0.0256836,12.5449
omap,0,0,1,1,64,32768,16,1,4,0.0404984,0.0467737,0.0437809,12.5449
