test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,1,1,64,1024,11,1,1024,0.00544781,0.0133721,0.0144467,0.151716
ofs,0,0,1,1,64,1024,3,8,1024,0.0962659,0.197913,0.101794,0.414299
omap,0,0,1,1,64,1024,11,1,1024,0.0487564,0.104643,0.113442,0.268652
ofs,0,0,1,1,64,32768,16,1,1024,0.0219724,0.0187823,0.0360866,0.711019
ofs,0,0,1,1,64,32768,4,8,1024,0.100179,0.234281,0.118305,0.844383
omap,0,0,1,1,64,32768,16,1,1024,0.350972,2.09558,2.04731,4.5126
ofs,0,0,1,1,64,1048576,21,1,1024,0.0220767,0.0368474,0.0577256,22.3035
ofs,0,0,1,1,64,1048576,5,8,1024,0.110175,0.189604,0.155945,13.6432
omap,0,0,1,1,64,1048576,21,1,1024,3.82774,12.3742,14.4768,31.8195
ofs,0,0,1,1,64,33554432,6,8,1024,0.167351,0.370319,0.255643,510.69
omap,0,0,1,1,64,33554432,26,1,1024,10.6788,87.9958,84.0387,184.753
ofs,0,0,1,1,1024,1024,11,1,1024,0.0318683,0.057638,0.037916,4.83929
ofs,0,0,1,1,1024,1024,3,8,1024,0.149232,0.326221,0.187266,0.689839
omap,0,0,1,1,1024,1024,11,1,1024,0.0643126,0.134061,0.112533,0.316636
ofs,0,0,1,1,1024,32768,16,1,1024,0.0924827,0.0951205,0.106148,1.22255
ofs,0,0,1,1,1024,32768,4,8,1024,0.311035,0.557359,0.261563,1.75867
omap,0,0,1,1,1024,32768,16,1,1024,0.739252,2.37639,2.73534,5.9867
ofs,0,0,1,1,1024,1048576,5,8,1024,0.249811,0.622361,0.301,15.4637
omap,0,0,1,1,1024,1048576,21,1,1024,6.9817,17.7583,19.2423,45.1082
ofs,0,0,1,1,1024,33554432,6,8,1024,0.580997,1.12701,0.591281,499.852
omap,0,0,1,1,1024,33554432,26,1,1024,149.91,214.138,242.082,607.553
ofs,0,0,1,1,4096,1024,11,1,1024,0.0883643,0.116574,0.116634,5.04872
ofs,0,0,1,1,4096,1024,3,8,1024,0.422078,0.994387,0.516311,1.99143
omap,0,0,1,1,4096,1024,11,1,1024,0.0717992,0.132913,0.135515,0.357612
ofs,0,0,1,1,4096,32768,16,1,1024,0.238588,0.280405,0.351077,2.26051
ofs,0,0,1,1,4096,32768,4,8,1024,0.716495,1.91132,0.995102,4.94138
omap,0,0,1,1,4096,32768,16,1,1024,1.26103,3.59306,3.82925,9.69176
ofs,0,0,1,1,4096,1048576,5,8,1024,0.981493,2.29244,1.24816,23.0586
omap,0,0,1,1,4096,1048576,21,1,1024,20.8658,48.3435,64.3623,134.744
omap,0,0,1,1,4096,33554432,26,1,1024,186.593,367.308,462.829,1017.33
