test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,0,1,64,1024,11,1,1024,0.00382267,0.00648849,0.0108405,1.42592
ofs,0,0,0,1,64,1024,3,8,1024,0.0558005,0.133942,0.0721357,0.280119
omap,0,0,0,1,64,1024,11,1,1024,0.049925,0.086985,0.084846,0.222728
ofs,0,0,0,1,64,32768,16,1,1024,0.0157807,0.0170537,0.0272595,3.41019
ofs,0,0,0,1,64,32768,16,1,2048,0.0243127,0.0202149,0.0294341,3.41019
ofs,0,0,0,1,64,32768,16,1,4096,0.0309199,0.020714,0.0315297,3.41019
ofs,0,0,0,1,64,32768,16,1,8192,0.0340134,0.0231092,0.0382723,3.41019
ofs,0,0,0,1,64,32768,16,1,16384,0.0419881,0.0324556,0.0425919,3.41019
ofs,0,0,0,1,64,32768,16,1,32768,0.0586433,0.0547525,0.0630826,3.41019
ofs,0,0,0,1,64,32768,4,8,1024,0.0910212,0.185135,0.100085,4.74872
ofs,0,0,0,1,64,32768,4,8,2048,0.207327,0.342595,0.191863,4.74872
ofs,0,0,0,1,64,32768,4,8,4096,0.052903,0.0751576,0.0574317,4.74872
ofs,0,0,0,1,64,32768,4,8,8192,0.0916716,0.12502,0.0877185,4.74872
ofs,0,0,0,1,64,32768,4,8,16384,0.145228,0.250452,0.143176,4.74872
ofs,0,0,0,1,64,32768,4,8,32768,0.270388,0.499158,0.272245,4.74872
omap,0,0,0,1,64,32768,16,1,1024,0.369841,1.7476,1.72031,39.7287
omap,0,0,0,1,64,32768,16,1,2048,1.68109,1.79891,1.83042,39.7287
omap,0,0,0,1,64,32768,16,1,4096,1.852,1.91909,1.95387,39.7287
omap,0,0,0,1,64,32768,16,1,8192,2.10055,2.15861,2.16482,39.7287
omap,0,0,0,1,64,32768,16,1,16384,2.58173,2.58663,2.55191,39.7287
omap,0,0,0,1,64,32768,16,1,32768,3.65423,3.52644,3.27987,39.7287
ofs,0,0,0,1,64,1048576,21,1,1024,0.0307835,0.0371706,0.0461868,58.7404
ofs,0,0,0,1,64,1048576,21,1,2048,0.0438234,0.0308636,0.0575319,58.7404
ofs,0,0,0,1,64,1048576,21,1,4096,0.0594189,0.0402722,0.0573941,58.7404
ofs,0,0,0,1,64,1048576,21,1,8192,0.0652657,0.0535947,0.0737568,58.7404
ofs,0,0,0,1,64,1048576,21,1,16384,0.0866521,0.0765575,0.0961473,58.7404
ofs,0,0,0,1,64,1048576,21,1,32768,0.113638,0.104845,0.139726,58.7404
ofs,0,0,0,1,64,1048576,21,1,65536,0.166028,0.205339,0.233908,58.7404
ofs,0,0,0,1,64,1048576,21,1,131072,0.295702,0.393684,0.407483,58.7404
ofs,0,0,0,1,64,1048576,21,1,262144,0.462595,0.635754,0.700781,58.7404
ofs,0,0,0,1,64,1048576,21,1,524288,0.678569,1.0128,1.03711,58.7404
ofs,0,0,0,1,64,1048576,21,1,1048576,1.33615,2.16252,2.16146,58.7404
ofs,0,0,0,1,64,1048576,5,8,1024,0.0769071,0.19949,0.122275,95.7611
ofs,0,0,0,1,64,1048576,5,8,2048,0.212288,0.350525,0.200476,95.7611
ofs,0,0,0,1,64,1048576,5,8,4096,0.401522,0.708385,0.352575,95.7611
ofs,0,0,0,1,64,1048576,5,8,8192,0.120957,0.190906,0.125966,95.7611
ofs,0,0,0,1,64,1048576,5,8,16384,0.231765,0.377388,0.212966,95.7611
ofs,0,0,0,1,64,1048576,5,8,32768,0.413559,0.741502,0.399833,95.7611
ofs,0,0,0,1,64,1048576,5,8,65536,0.801679,1.43432,0.765053,95.7611
ofs,0,0,0,1,64,1048576,5,8,131072,0.632913,1.85574,1.40577,95.7611
ofs,0,0,0,1,64,1048576,5,8,262144,1.87314,3.64988,1.87411,95.7611
ofs,0,0,0,1,64,1048576,5,8,524288,3.68869,7.37871,3.92583,95.7611
ofs,0,0,0,1,64,1048576,5,8,1048576,7.56012,19.6289,7.42941,95.7611
omap,0,0,0,1,64,1048576,21,1,1024,3.27015,12.202,12.2621,2316.92
omap,0,0,0,1,64,1048576,21,1,2048,14.6828,21.3883,21.5608,2316.92
omap,0,0,0,1,64,1048576,21,1,4096,27.2732,34.639,35.0062,2316.92
omap,0,0,0,1,64,1048576,21,1,8192,42.0978,49.8282,49.5831,2316.92
omap,0,0,0,1,64,1048576,21,1,16384,52.6388,61.3486,61.8979,2316.92
omap,0,0,0,1,64,1048576,21,1,32768,58.4555,67.0205,67.3443,2316.92
omap,0,0,0,1,64,1048576,21,1,65536,62.734,71.546,70.1308,2316.92
omap,0,0,0,1,64,1048576,21,1,131072,71.9156,78.9618,76.889,2316.92
omap,0,0,0,1,64,1048576,21,1,262144,86.619,96.3196,90.0302,2316.92
omap,0,0,0,1,64,1048576,21,1,524288,123.275,127.721,117.596,2316.92
omap,0,0,0,1,64,1048576,21,1,1048576,194.44,188.611,167.475,2316.92
ofs,0,0,0,1,64,33554432,6,8,1024,0.150547,220.929,143.421,25612.7
ofs,0,0,0,1,64,33554432,6,8,2048,0.35598,300.414,180.671,25612.7
ofs,0,0,0,1,64,33554432,6,8,4096,0.67814,990.107,350.82,25612.7
ofs,0,0,0,1,64,33554432,6,8,8192,0.194458,718.847,736.531,25612.7
ofs,0,0,0,1,64,33554432,6,8,16384,0.368775,1194.19,913.789,25612.7
ofs,0,0,0,1,64,33554432,6,8,32768,0.662925,1978.79,1634.64,25612.7
ofs,0,0,0,1,64,33554432,6,8,65536,1.26892,2177.81,1536.61,25612.7
ofs,0,0,0,1,64,33554432,6,8,131072,2079.61,880.012,538.23,25612.7
ofs,0,0,0,1,64,33554432,6,8,262144,432.385,652.596,578.014,25612.7
ofs,0,0,0,1,64,33554432,6,8,524288,632.061,1127.77,748.848,25612.7
ofs,0,0,0,1,64,33554432,6,8,1048576,1079.92,2055.13,1330.71,25612.7
