test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,32,8388608,3,16,0,0,0,0,0,0,130.689787,9415240320.000000,0,226.884451
ofs,0,1,0,1,32,8388608,3,16,1,0.096258,2354208.000000,0.260229,5126864.000000,160213.000000,0,0,1.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,2,0.125665,2668144.000000,0.255877,5329504.000000,166545.000000,0,0,2.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,4,0.136002,2849376.000000,0.244145,5301888.000000,165680.000000,0,0,4.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,8,0.140931,2903840.000000,0.227971,5067312.000000,158345.000000,0,0,8.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,16,0.145858,3005632.000000,0.233300,5116784.000000,159883.000000,0,0,16.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,32,0.146927,2823168.000000,0.214782,5309808.000000,165899.000000,0,0,32.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,64,0.144585,3019776.000000,0.212414,5312208.000000,165942.000000,0,0,64.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,128,0.147909,2956624.000000,0.217043,5125168.000000,160033.000000,0,0,128.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,256,0.224875,5005152.000000,0.372653,9620320.000000,300379.000000,0,0,256.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,512,0.391013,9105552.000000,0.652428,17663440.000000,551470.000000,0,0,512.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,1024,0.724989,17714208.000000,1.278965,34504208.000000,1077232.000000,0,0,1024.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,2048,1.383979,35680656.000000,2.465027,69339392.000000,2164808.000000,0,0,2048.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,4096,0.467067,106630480.000000,0.983352,317198400.000000,9908354.000000,0,0,4096.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,8192,0.479217,106678720.000000,0.983987,338164352.000000,10559444.000000,0,0,8192.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,16384,0.511184,127657632.000000,0.987715,338156432.000000,10551004.000000,0,0,16384.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,32768,0.489481,117176336.000000,0.960799,327678016.000000,10207170.000000,0,0,32768.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,65536,0.911655,254209824.000000,1.911658,664670928.000000,20705430.000000,0,0,65536.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,131072,1.821346,570128784.000000,3.725658,1307177584.000000,40718227.000000,0,0,131072.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,262144,3.633907,1118212576.000000,7.679533,2592106896.000000,80741196.000000,0,0,262144.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,524288,11.598449,3284048432.000000,14.852230,5246113488.000000,163416758.000000,0,0,524288.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,1048576,3.855337,403822256.000000,5.922390,806510512.000000,24154877.000000,0,0,1048576.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,2097152,5.979733,806483392.000000,5.736245,806537632.000000,23107149.000000,0,0,2097152.000000,226.884451
ofs,0,1,0,1,32,8388608,3,16,4194304,6.038701,806466352.000000,6.006199,806535712.000000,21009937.000000,0,0,4194304.000000,226.884451
