
Read 7767374 in total.

Read 7767374 in total.
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,300,8388608,18,1,0,0,0,12.142550,0,0,0,174.994991,1861079168.000000,0,2521.450719
ofs,0,0,1,1,300,8388608,18,1,1,0.685715,355240992.000000,0,3.410027,1143143872.000000,3800210.000000,0,0,10269.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,2,0.976103,552063712.000000,0,5.395564,1221827648.000000,4060914.000000,0,0,11844.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,3,0.193019,60673296.000000,0,2.115817,180064368.000000,599384.000000,0,0,830.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,4,0.212469,70600192.000000,0,1.744892,184973216.000000,615310.000000,0,0,1267.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,5,0.228992,80476448.000000,0,2.148340,204634528.000000,681336.000000,0,0,779.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,6,0.210473,75619440.000000,0,1.699883,194801952.000000,648276.000000,0,0,1063.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,7,0.143158,19064528.000000,0,1.328150,58574160.000000,194805.000000,0,0,442.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,8,0.227107,80526368.000000,0,2.254001,189889744.000000,631756.000000,0,0,1209.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,9,0.289001,109903232.000000,0,6.534646,356888832.000000,1187300.000000,0,0,2329.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,10,0.220074,85511296.000000,0,2.026111,194811792.000000,648472.000000,0,0,900.000000,2521.450719
ofs,0,0,1,1,300,8388608,18,1,11,0.126594,6955328.000000,0,2.065664,17622368.000000,58626.000000,0,0,115.000000,2521.450719
