
Read 7767374 in total.
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,300,8388608,11,32,0,0,0,11962158525.000000,0,0,0,158198239264.000000,1454066304.000000,0,6562.734459
ofs,0,0,1,1,300,8388608,11,32,1,2287799210.000000,527836736.000000,0,7442096936.000000,1350620496.000000,4491799.000000,0,0,10269.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,2,2688755678.000000,650045104.000000,0,11786158628.000000,1547950368.000000,5147990.000000,0,0,11844.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,3,2542515842.000000,84268032.000000,0,10397273495.000000,194465392.000000,647387.000000,0,0,830.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,4,929577663.000000,77579840.000000,0,5322801570.000000,194526528.000000,647154.000000,0,0,1267.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,5,2324095897.000000,87700160.000000,0,7632842546.000000,186924752.000000,622303.000000,0,0,779.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,6,971279867.000000,74128480.000000,0,3571311693.000000,177728560.000000,591365.000000,0,0,1063.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,7,2782934399.000000,69173296.000000,0,13438452740.000000,154423968.000000,514304.000000,0,0,442.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,8,1042246595.000000,86528352.000000,0,3333421921.000000,193922016.000000,645197.000000,0,0,1209.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,9,1942117046.000000,161224320.000000,0,5134132339.000000,369822208.000000,1230411.000000,0,0,2329.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,10,2873907014.000000,103743024.000000,0,9404781918.000000,217441344.000000,723904.000000,0,0,900.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,11,3592686599.000000,57236544.000000,0,25419242245.000000,116992016.000000,389858.000000,0,0,115.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,12,961275326.000000,77373360.000000,0,2919616366.000000,175974944.000000,585483.000000,0,0,1100.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,13,1199284046.000000,281917584.000000,0,4351764079.000000,655940784.000000,2181683.000000,0,0,4786.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,14,1020343758.000000,24259264.000000,0,2905890593.000000,51088016.000000,170152.000000,0,0,141.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,15,3146135079.000000,114528640.000000,0,8861692972.000000,232187440.000000,772990.000000,0,0,968.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,16,3570004721.000000,917462640.000000,0,13843329175.000000,2099921488.000000,6983478.000000,0,0,16260.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,17,34722493534.000000,6488826480.000000,0,61380987743.000000,16871290816.000000,56065213.000000,0,0,172423.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,18,2771989115.000000,104188288.000000,0,10286915881.000000,214166432.000000,713015.000000,0,0,873.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,19,66039092630.000000,25177398448.000000,0,206820046132.000000,61208329856.000000,203151705.000000,0,0,876061.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,20,7360892597.000000,161193376.000000,0,9971585205.000000,352228976.000000,1171816.000000,0,0,2280.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,21,5792144274.000000,576725328.000000,0,6489417640.000000,1240642880.000000,4126057.000000,0,0,9419.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,22,2847152684.000000,504353920.000000,0,15271257281.000000,1122996832.000000,3734894.000000,0,0,8428.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,23,1613106796.000000,99215280.000000,0,8618256074.000000,214397136.000000,713299.000000,0,0,1358.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,24,1252329795.000000,89867696.000000,0,6254562705.000000,196156144.000000,652626.000000,0,0,1227.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,25,4219817856.000000,1353998144.000000,0,19812598791.000000,3548376480.000000,11796803.000000,0,0,31118.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,26,1943492214.000000,4641008.000000,0,3918664685.000000,9207312.000000,30689.000000,0,0,2.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,27,7090500237.000000,1944528320.000000,0,23397471987.000000,4723431952.000000,15702335.000000,0,0,42438.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,28,13987114307.000000,50793904.000000,0,28132908295.000000,100210224.000000,334009.000000,0,0,25.000000,6562.734459
ofs,0,0,1,1,300,8388608,11,32,29,11229918122.000000,500836704.000000,0,12175142401.000000,1111979232.000000,3698130.000000,0,0,8467.000000,6562.734459
