test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,300,8388608,10,1,0,0,0,13.872338,0,0,0,126.943810,1246919808.000000,0,76548.556968
ofs,0,0,0,1,300,8388608,10,1,1,1.404587,647231824.000000,0,1106.408101,2505735488.000000,8342182.000000,0,0,10269.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,2,1.780513,970397136.000000,0,323.003703,2505714128.000000,8340536.000000,0,0,11844.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,3,0.158483,34526416.000000,0,43.110939,96559984.000000,321036.000000,0,0,830.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,4,0.493521,203510720.000000,0,437.499673,689184656.000000,2296015.000000,0,0,1267.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,5,0.182842,39718800.000000,0,43.461727,106628912.000000,354650.000000,0,0,779.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,6,0.537855,243974448.000000,0,353.574563,709395040.000000,2363587.000000,0,0,1063.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,7,0.187352,42274672.000000,0,221.495517,101599968.000000,338224.000000,0,0,442.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,8,0.557868,264210512.000000,0,263.783047,709391440.000000,2363429.000000,0,0,1209.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,9,0.568370,284427856.000000,0,303.509004,749752448.000000,2496845.000000,0,0,2329.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,10,0.198301,49925008.000000,0,34.464755,109150464.000000,362934.000000,0,0,900.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,11,0.143160,11447760.000000,0,116.715413,33062720.000000,110094.000000,0,0,115.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,12,0.602458,304604880.000000,0,512.835663,709390960.000000,2363536.000000,0,0,1100.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,13,0.590577,284436976.000000,0,228.800012,749738768.000000,2494343.000000,0,0,4786.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,14,0.155616,12805760.000000,0,29.794315,31779360.000000,105790.000000,0,0,141.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,15,0.194904,44920544.000000,0,28.618512,104142160.000000,346172.000000,0,0,968.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,16,1.611837,809200400.000000,0,565.991019,2424984720.000000,8067022.000000,0,0,16260.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,17,223.235660,2651945200.000000,0,356.553820,5302923440.000000,17503988.000000,0,0,172423.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,18,0.202640,50010448.000000,0,257.567611,121793504.000000,405105.000000,0,0,873.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,19,56.704368,5302747280.000000,0,397.943157,5302916480.000000,16800327.000000,0,0,876061.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,20,0.591058,264301472.000000,0,180.352855,729584544.000000,2429668.000000,0,0,2280.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,21,1.877858,889970368.000000,0,454.957685,2424996240.000000,8073901.000000,0,0,9419.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,22,2.603912,1212954960.000000,0,372.757547,2424992880.000000,8074881.000000,0,0,8428.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,23,1.235913,284503936.000000,0,269.078927,669046992.000000,2228798.000000,0,0,1358.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,24,1.070882,365261232.000000,0,351.888059,689230496.000000,2296207.000000,0,0,1227.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,25,2.303902,1293684848.000000,0,360.598853,2586461056.000000,8590418.000000,0,0,31118.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,26,0.220276,2788720.000000,0,144.806038,5072464.000000,16906.000000,0,0,2.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,27,144.646984,5302761680.000000,0,660.408435,5302934720.000000,17634011.000000,0,0,42438.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,28,0.212645,3649152.000000,0,423.156245,7747104.000000,25798.000000,0,0,25.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,29,1.720666,890013568.000000,0,393.354730,2425010640.000000,8074901.000000,0,0,8467.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,30,0.156939,3926320.000000,0,248.495228,7987296.000000,26592.000000,0,0,32.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,31,0.161231,13552800.000000,0,195.055869,33052880.000000,110094.000000,0,0,82.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,32,0.188149,45016064.000000,0,186.798979,101615808.000000,338020.000000,0,0,699.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,33,0.224292,42495232.000000,0,178.906774,106674992.000000,354816.000000,0,0,767.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,34,0.218096,55113312.000000,0,361.952312,101660448.000000,338410.000000,0,0,458.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,35,1.033123,284558416.000000,0,559.724141,729587184.000000,2428623.000000,0,0,3334.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,36,0.262566,45043184.000000,0,114.336644,104131840.000000,346706.000000,0,0,400.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,37,169.900345,5302807040.000000,0,502.808858,5302934720.000000,17637585.000000,0,0,38864.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,38,0.157563,2939344.000000,0,208.155035,5126368.000000,17084.000000,0,0,3.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,39,0.192930,2988656.000000,0,161.901167,5073552.000000,16908.000000,0,0,3.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,40,0.163298,16117840.000000,0,132.352117,30490720.000000,101590.000000,0,0,45.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,41,0.150433,13583760.000000,0,116.751026,29934000.000000,99744.000000,0,0,36.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,42,0.197771,52624640.000000,0,100.851770,104171920.000000,346769.000000,0,0,470.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,43,2.269768,1293728048.000000,0,971.471285,2505719168.000000,8327374.000000,0,0,25023.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,44,0.165073,3055632.000000,0,136.847153,5110272.000000,17026.000000,0,0,8.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,45,0.153481,14267680.000000,0,103.951160,30567040.000000,101835.000000,0,0,55.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,46,0.917189,385489616.000000,0,625.621088,729601104.000000,2430651.000000,0,0,1352.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,47,184.461452,5302831280.000000,0,354.795505,5302957520.000000,17620418.000000,0,0,56107.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,48,0.180936,3084544.000000,0,219.306297,5102704.000000,17005.000000,0,0,4.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,49,0.164863,3064512.000000,0,178.550783,5059136.000000,16855.000000,0,0,8.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,50,0.188248,3108192.000000,0,140.151103,5156976.000000,17183.000000,0,0,6.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,51,0.635342,304784400.000000,0,234.655967,810336560.000000,2699897.000000,0,0,1224.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,52,0.175234,3116832.000000,0,141.800164,5120112.000000,17065.000000,0,0,2.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,53,2.213262,1051525904.000000,0,930.831046,2263525424.000000,7529590.000000,0,0,15494.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,54,0.169526,2702240.000000,0,256.793850,4425680.000000,14751.000000,0,0,1.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,55,1.278518,345184528.000000,0,517.750962,709432240.000000,2359652.000000,0,0,5122.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,56,0.281598,4309296.000000,0,158.704027,7784544.000000,25930.000000,0,0,18.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,57,0.180797,3175520.000000,0,151.615899,5136432.000000,17118.000000,0,0,3.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,58,0.931461,324957104.000000,0,635.646617,669064272.000000,2229089.000000,0,0,1125.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,59,0.219618,17458800.000000,0,66.651747,29957280.000000,99659.000000,0,0,198.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,60,0.215149,14273440.000000,0,93.800632,31824480.000000,106013.000000,0,0,68.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,61,1.484837,325000784.000000,0,560.609442,749777408.000000,2493470.000000,0,0,5788.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,62,247.323230,304800720.000000,0,270.854249,810371600.000000,2699837.000000,0,0,1401.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,63,29.241272,5302852160.000000,0,372.104998,5302937600.000000,17616388.000000,0,0,60070.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,64,2.112913,1051567904.000000,0,333.363651,2425021920.000000,8069503.000000,0,0,13903.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,65,3.909828,970823136.000000,0,389.203396,2425011600.000000,8060054.000000,0,0,23318.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,66,0.244702,3376112.000000,0,207.401543,5213136.000000,17375.000000,0,0,2.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,67,0.811304,50170768.000000,0,114.348249,111749536.000000,371937.000000,0,0,561.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,68,0.328643,4234448.000000,0,214.853196,7783104.000000,25934.000000,0,0,9.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,69,0.239922,4335712.000000,0,119.052141,7752880.000000,25833.000000,0,0,9.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,70,137.279161,970843776.000000,0,825.224612,2505759008.000000,8327481.000000,0,0,25049.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,71,1.475823,304799280.000000,0,270.212060,669082272.000000,2222432.000000,0,0,7842.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,72,6.200160,1213048560.000000,0,315.256150,2425032240.000000,8073163.000000,0,0,10277.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,73,0.516374,60264416.000000,0,90.486683,116791920.000000,388836.000000,0,0,470.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,74,87.747569,5302849280.000000,0,502.354619,5302933280.000000,17637048.000000,0,0,39396.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,75,0.173578,4189344.000000,0,313.804443,7804704.000000,26006.000000,0,0,9.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,76,0.704218,405751120.000000,0,222.451534,709441360.000000,2358191.000000,0,0,6613.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,77,0.188370,2883520.000000,0,335.706942,4448000.000000,14825.000000,0,0,1.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,78,0.169167,14962880.000000,0,167.499237,34379920.000000,114413.000000,0,0,186.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,79,2.431121,1132334992.000000,0,850.576502,2505750608.000000,8322015.000000,0,0,30487.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,80,2.797189,970850736.000000,0,375.044110,2182792176.000000,7264096.000000,0,0,11877.000000,76548.556968
ofs,0,0,0,1,300,8388608,10,1,81,5.267622,325009184.000000,0,348.527755,810362240.000000,2697790.000000,0,0,3417.000000,76548.556968
