test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,300,8388608,22,1,0,0,0,14.241348,0,0,0,210.004117,2130688000.000000,0,1466.511362
ofs,0,0,1,1,300,8388608,22,1,1,0.783660,364665888.000000,0,2.775628,1294693424.000000,4305375.000000,0,0,10269.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,2,1.011298,526369696.000000,0,2.942112,1375379488.000000,4572754.000000,0,0,11844.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,3,0.168632,34531456.000000,0,0.704334,104103040.000000,346180.000000,0,0,830.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,4,0.228449,62274096.000000,0,1.077580,189775856.000000,631319.000000,0,0,1267.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,5,0.182982,42210832.000000,0,0.577829,94025952.000000,312640.000000,0,0,779.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,6,0.243774,82563008.000000,0,1.025149,209993488.000000,698915.000000,0,0,1063.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,7,0.136787,19534096.000000,0,0.487837,52479456.000000,174489.000000,0,0,442.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,8,0.229627,77567760.000000,0,0.705972,184725888.000000,614543.000000,0,0,1209.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,9,0.344152,112809440.000000,0,1.008936,386519840.000000,1286070.000000,0,0,2329.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,10,0.183191,39786240.000000,0,0.368101,111701296.000000,371437.000000,0,0,900.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,11,0.140199,7074608.000000,0,0.235285,17632800.000000,58661.000000,0,0,115.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,12,0.251505,82692848.000000,0,0.522523,209989648.000000,698865.000000,0,0,1100.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,13,0.490818,203655680.000000,0,1.860744,729605424.000000,2427232.000000,0,0,4786.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,14,0.150225,11460960.000000,0,0.648262,27917040.000000,92915.000000,0,0,141.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,15,0.199597,47420976.000000,0,0.523272,101585328.000000,337649.000000,0,0,968.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,16,0.908351,445881392.000000,0,3.973322,1294683584.000000,4299351.000000,0,0,16260.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,17,17.772748,2651963200.000000,0,16.200940,5302918160.000000,17503970.000000,0,0,172423.000000,1466.511362
