test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,300,8388608,2,1,0,0,0,14.492706,0,0,0,115.279852,1073741696.000000,0,6073.442658
ofs,0,0,1,1,300,8388608,2,1,1,9.108898,2651647840.000000,0,14.937321,5302924640.000000,17666146.000000,0,0,10269.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,2,14.305159,5302581680.000000,0,14.931105,5302927280.000000,17664580.000000,0,0,11844.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,3,13.973619,5302591760.000000,0,14.707272,5302942880.000000,17675646.000000,0,0,830.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,4,14.194360,5302630880.000000,0,14.715305,5302927520.000000,17675158.000000,0,0,1267.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,5,14.770090,5302664000.000000,0,14.714778,5302922720.000000,17675630.000000,0,0,779.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,6,14.314177,5302679600.000000,0,14.442180,5302928000.000000,17675363.000000,0,0,1063.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,7,14.335551,5302683440.000000,0,14.572722,5302936160.000000,17676011.000000,0,0,442.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,8,14.509759,5302696880.000000,0,14.993933,5302922960.000000,17675200.000000,0,0,1209.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,9,14.436715,5302708400.000000,0,14.726648,5302932800.000000,17674113.000000,0,0,2329.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,10,14.313702,5302703840.000000,0,14.465333,5302918640.000000,17675495.000000,0,0,900.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,11,14.325657,5302715840.000000,0,14.729625,5302928720.000000,17676314.000000,0,0,115.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,12,14.376670,5302740560.000000,0,14.672847,5302908080.000000,17675260.000000,0,0,1100.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,13,14.302955,5302740320.000000,0,14.617483,5302938800.000000,17671676.000000,0,0,4786.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,14,14.373107,5302726880.000000,0,15.251586,5302926080.000000,17676279.000000,0,0,141.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,15,14.314837,5302728080.000000,0,14.374924,5302929920.000000,17675465.000000,0,0,968.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,16,14.329555,5302754000.000000,0,15.345843,5302926080.000000,17660160.000000,0,0,16260.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,17,14.366046,5302745840.000000,0,15.506352,5302932320.000000,17504018.000000,0,0,172423.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,18,14.355460,5302743200.000000,0,16.016253,5302911680.000000,17675499.000000,0,0,873.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,19,14.438417,5302767680.000000,0,16.192369,5302930400.000000,16800373.000000,0,0,876061.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,20,14.223280,5302769600.000000,0,14.896359,5302921280.000000,17674124.000000,0,0,2280.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,21,14.828937,5302767200.000000,0,14.776591,5302914320.000000,17666962.000000,0,0,9419.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,22,14.401261,5302757600.000000,0,14.808629,5302921280.000000,17667976.000000,0,0,8428.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,23,14.400180,5302770320.000000,0,14.796062,5302923440.000000,17675053.000000,0,0,1358.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,24,14.283514,5302762880.000000,0,14.909772,5302940480.000000,17675241.000000,0,0,1227.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,25,14.505198,5302795280.000000,0,14.553887,5302929920.000000,17645315.000000,0,0,31118.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,26,14.374658,5302779200.000000,0,14.724285,5302946960.000000,17676487.000000,0,0,2.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,27,14.789652,5302768400.000000,0,14.513035,5302930640.000000,17633997.000000,0,0,42438.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,28,14.740582,5302786880.000000,0,14.214419,5302936640.000000,17676430.000000,0,0,25.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,29,13.831601,5302799120.000000,0,14.374018,5302930640.000000,17667968.000000,0,0,8467.000000,6073.442658
ofs,0,0,1,1,300,8388608,2,1,30,14.742765,5302785440.000000,0,14.367893,5302933520.000000,17676413.000000,0,0,32.000000,6073.442658
