test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4096,8388608,2,1,0,0,0,0,0,0,1612.033433,279375969360.000000,0,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,1,4.554996,1616445408.000000,7.856838,3231160896.000000,788856.000000,0,0,1.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,2,4.289390,1616459328.000000,7.900743,3231141696.000000,788850.000000,0,0,2.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,4,4.256682,1616438208.000000,7.848085,3231167616.000000,788855.000000,0,0,4.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,8,4.242913,1616472768.000000,7.934316,3231150816.000000,788847.000000,0,0,8.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,16,4.304208,1616445408.000000,8.000349,3231185856.000000,788847.000000,0,0,16.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,32,4.240194,1616444448.000000,7.963545,3231163296.000000,788826.000000,0,0,32.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,64,4.202904,1616445408.000000,7.918565,3231184416.000000,788799.000000,0,0,64.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,128,4.299168,1616442528.000000,7.745526,3231178176.000000,788733.000000,0,0,128.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,256,4.153565,1616452608.000000,7.960423,3231169536.000000,788603.000000,0,0,256.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,512,4.098629,1616452608.000000,8.032249,3231167136.000000,788347.000000,0,0,512.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,1024,4.137712,1616447808.000000,8.216538,3231193536.000000,787841.000000,0,0,1024.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,2048,4.210413,1616452608.000000,7.686417,3231159936.000000,786809.000000,0,0,2048.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,4096,136.034144,34495529568.000000,216.729671,68989490496.000000,16839041.000000,0,0,4096.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,8192,224.478471,68989494336.000000,233.121054,68989501536.000000,16834948.000000,0,0,8192.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,16384,259.174904,68989489536.000000,218.728844,68989487136.000000,16826752.000000,0,0,16384.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,32768,223.345916,68989497216.000000,231.875951,68989475616.000000,16810365.000000,0,0,32768.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,65536,255.408739,68989492896.000000,216.128226,68989498176.000000,16777603.000000,0,0,65536.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,131072,222.430966,68989481856.000000,226.170162,68989502016.000000,16712068.000000,0,0,131072.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,262144,225.815171,68989501056.000000,226.943007,68989493376.000000,16580994.000000,0,0,262144.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,524288,231.937463,68989498656.000000,218.342804,68989480416.000000,16318846.000000,0,0,524288.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,1048576,224.196377,68989492896.000000,229.813456,68989494816.000000,15794562.000000,0,0,1048576.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,2097152,239.150095,68989492896.000000,198.682835,68989489056.000000,14745984.000000,0,0,2097152.000000,6682.377169
ofs,1,1,0,1,4096,8388608,2,1,4194304,224.925539,68989486176.000000,232.281857,68989500096.000000,12648835.000000,0,0,4194304.000000,6682.377169
