test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,128,8388608,2,512,0,0,0,0,0,0,840.081151,13153008720.000000,0,1913.294908
ofs,0,0,1,1,128,8388608,2,512,1,0.848484,56176320.000000,1.010055,110602080.000000,864077.000000,0,0,1.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,2,0.714450,56187360.000000,1.018061,110611200.000000,864148.000000,0,0,2.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,4,0.777640,56143200.000000,1.012153,110599680.000000,864056.000000,0,0,4.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,8,0.751293,56151840.000000,1.045083,110599200.000000,864048.000000,0,0,8.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,16,0.748138,56180640.000000,1.041232,110594400.000000,864002.000000,0,0,16.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,32,0.692308,56178720.000000,1.039406,110630880.000000,864271.000000,0,0,32.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,64,0.699960,56157120.000000,1.038418,110598720.000000,863988.000000,0,0,64.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,128,0.747210,56172480.000000,0.990994,110592000.000000,863872.000000,0,0,128.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,256,0.747969,56166720.000000,1.055889,110616480.000000,863935.000000,0,0,256.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,512,0.749781,56170560.000000,0.977364,110602560.000000,863570.000000,0,0,512.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,1024,0.753073,56178240.000000,1.054449,110585760.000000,862927.000000,0,0,1024.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,2048,0.709117,56174880.000000,0.977596,110598240.000000,862000.000000,0,0,2048.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,4096,1.091739,110741760.000000,1.663537,219614400.000000,1711641.000000,0,0,4096.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,8192,1.784819,219941760.000000,2.922818,437693760.000000,3411290.000000,0,0,8192.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,16384,3.112846,438311520.000000,5.611310,873746880.000000,6809763.000000,0,0,16384.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,32768,5.907880,875011200.000000,11.003160,1745926560.000000,13607283.000000,0,0,32768.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,65536,12.037367,1748388000.000000,21.343467,3490198560.000000,27201640.000000,0,0,65536.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,131072,23.164145,3495369120.000000,42.565021,7146181520.000000,55698471.000000,0,0,131072.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,262144,45.944427,6989217600.000000,80.503959,13956126240.000000,108770092.000000,0,0,262144.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,524288,87.131036,13976775840.000000,160.104259,27910959360.000000,217530082.000000,0,0,524288.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,1048576,173.992487,27951709440.000000,334.963861,55819757760.000000,435043281.000000,0,0,1048576.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,2097152,6.875128,1209537824.000000,9.957050,2417501248.000000,16789576.000000,0,0,2097152.000000,1913.294908
ofs,0,0,1,1,128,8388608,2,512,4194304,10.270250,2417497408.000000,10.005829,2417504128.000000,14692447.000000,0,0,4194304.000000,1913.294908
