test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,32,8388608,3,128,0,0,0,0,0,0,812.491692,9415240320.000000,0,1503.777185
ofs,0,1,1,1,32,8388608,3,128,1,0.806517,4366592.000000,1.045958,6793984.000000,212311.000000,0,0,1.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,2,0.806965,4351232.000000,1.128005,6774784.000000,211710.000000,0,0,2.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,4,0.761034,4358432.000000,1.192883,6799264.000000,212473.000000,0,0,4.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,8,0.790638,4361312.000000,1.190129,6807424.000000,212724.000000,0,0,8.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,16,0.764553,4364672.000000,1.173720,6811744.000000,212851.000000,0,0,16.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,32,0.760445,4354592.000000,1.133728,6791584.000000,212205.000000,0,0,32.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,64,0.710501,4361792.000000,1.191594,6785824.000000,211993.000000,0,0,64.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,128,0.739043,4339232.000000,1.167672,6803104.000000,212469.000000,0,0,128.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,256,1.100180,7130464.000000,1.944491,11977568.000000,374043.000000,0,0,256.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,512,1.950726,12676928.000000,3.437602,22439776.000000,700731.000000,0,0,512.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,1024,3.478570,23810176.000000,6.502745,43244672.000000,1350372.000000,0,0,1024.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,2048,6.524687,45991712.000000,12.462448,85048384.000000,2655714.000000,0,0,2048.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,4096,13.001503,90383584.000000,23.850830,168461888.000000,5260338.000000,0,0,4096.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,8192,25.581484,179307008.000000,46.682371,335047936.000000,10462056.000000,0,0,8192.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,16384,50.078383,356944096.000000,92.721111,668678912.000000,20879832.000000,0,0,16384.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,32768,0.984760,170234656.000000,1.542407,338851232.000000,10556333.000000,0,0,32768.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,65536,1.529700,338925152.000000,2.422299,676143904.000000,21063961.000000,0,0,65536.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,131072,2.419643,676297504.000000,4.320018,1350667808.000000,42077297.000000,0,0,131072.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,262144,4.785034,1350904448.000000,8.071336,2699916256.000000,84110239.000000,0,0,262144.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,524288,9.214863,2700270016.000000,16.123882,5398142432.000000,168167663.000000,0,0,524288.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,1048576,16.215157,5398995392.000000,31.470246,10794665824.000000,336284731.000000,0,0,1048576.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,2097152,31.887301,10796349664.000000,64.319534,21587667008.000000,672517442.000000,0,0,2097152.000000,1503.777185
ofs,0,1,1,1,32,8388608,3,128,4194304,65.915360,21591159008.000000,124.911757,43173897376.000000,1344989989.000000,0,0,4194304.000000,1503.777185
