test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,41028.915625,3623878224000.000000,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1,0.148061,14236819.200000,0,0.267505,27069120.000000,26433.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2,0,0,0,0.267175,27077760.000000,26442.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4,0,0,0,0.287727,27630720.000000,26982.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,8,0,0,0,0.274460,28512000.000000,27842.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,16,0,0,0,0.294335,30637440.000000,29918.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,32,0,0,0,0.514933,34283520.000000,33479.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,64,0,0,0,0.440188,41757120.000000,40777.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,128,0,0,0,0.555406,56574720.000000,55247.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,256,0,0,0,0.831750,83773440.000000,81809.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,512,0,0,0,1.444342,135864000.000000,132678.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1024,0,0,0,2.536853,232614720.000000,227161.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2048,0,0,0,4.793978,409682880.000000,400079.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4096,0,0,0,8.715795,730650240.000000,713524.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,8192,0,0,0,15.466515,1300708800.000000,1270222.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,16384,0,0,0,28.680675,2310638400.000000,2256481.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,32768,0,0,0,51.797770,4040988480.000000,3946276.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,65536,0,0,0,92.500701,6943795200.000000,6781049.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,131072,0,0,0,192.859883,11653822080.000000,11380684.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,262144,0,0,0,408.219917,18894193920.000000,18451360.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,524288,0,0,0,721.942803,29274600960.000000,28588476.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1048576,0,0,0,980.542577,42533415360.000000,41536537.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2097152,0,0,0,1284.665199,56524927680.000000,55200123.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4194304,0,0,0,1657.343729,67235754240.000000,65659915.000000,0,0,5880.342414
