test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,1,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,47286.313492,3623878224000.000000,6431.705326
omap,0,1,0,1,1024,8388608,24,1,1,0.142476,14234486.400000,0,0.249831,27034560.000000,26399.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,2,0,0,0,0.259443,27302400.000000,26661.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,4,0,0,0,0.330701,27648000.000000,26999.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,8,0,0,0,0.268015,28607040.000000,27935.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,16,0,0,0,0.290437,30559680.000000,29842.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,32,0,0,0,0.330558,34516800.000000,33706.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,64,0,0,0,0.863438,41748480.000000,40769.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,128,0,0,0,0.568745,56479680.000000,55154.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,256,0,0,0,0.827909,83946240.000000,81977.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,512,0,0,0,1.447045,136244160.000000,133049.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,1024,0,0,0,2.761365,233133120.000000,227668.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,2048,0,0,0,5.052118,410140800.000000,400527.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,4096,0,0,0,8.743784,731177280.000000,714039.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,8192,0,0,0,15.871573,1303361280.000000,1272812.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,16384,0,0,0,29.255494,2310621120.000000,2256464.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,32768,0,0,0,52.993148,4045464000.000000,3950647.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,65536,0,0,0,94.967801,6943069440.000000,6780340.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,131072,0,0,0,204.727097,11648620800.000000,11375605.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,262144,0,0,0,492.625363,18899654400.000000,18456692.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,524288,0,0,0,785.589585,29285547840.000000,28599166.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,1048576,0,0,0,1108.536360,42526952640.000000,41530226.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,2097152,0,0,0,1441.502989,56525653440.000000,55200832.000000,0,0,6431.705326
omap,0,1,0,1,1024,8388608,24,1,4194304,0,0,0,1696.528851,67235114880.000000,65659290.000000,0,0,6431.705326
