test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,1,1,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,38190.494910,3623878224000.000000,5399.882456
omap,1,1,0,1,1024,8388608,24,1,1,0.164169,14242521.600000,0,0.306153,26758080.000000,26129.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,2,0,0,0,0.330286,27371520.000000,26729.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,4,0,0,0,0.313581,27699840.000000,27049.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,8,0,0,0,0.332675,28745280.000000,28070.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,16,0,0,0,0.364996,30576960.000000,29859.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,32,0,0,0,0.382730,34464960.000000,33656.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,64,0,0,0,0.505396,41843520.000000,40861.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,128,0,0,0,0.629635,56548800.000000,55222.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,256,0,0,0,0.991758,83730240.000000,81766.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,512,0,0,0,1.544545,135587520.000000,132408.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,1024,0,0,0,2.791205,232977600.000000,227516.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,2048,0,0,0,5.198538,408888000.000000,399303.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,4096,0,0,0,9.203107,730805760.000000,713676.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,8192,0,0,0,16.821759,1300864320.000000,1270374.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,16384,0,0,0,30.908284,2306629440.000000,2252566.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,32768,0,0,0,56.874573,4044193920.000000,3949407.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,65536,0,0,0,98.082678,6943527360.000000,6780787.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,131072,0,0,0,172.542782,11649571200.000000,11376533.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,262144,0,0,0,293.967541,18901728000.000000,18458717.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,524288,0,0,0,494.370456,29256050880.000000,28570361.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,1048576,0,0,0,832.660345,42526831680.000000,41530108.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,2097152,0,0,0,1290.901469,56516149440.000000,55191551.000000,0,0,5399.882456
omap,1,1,0,1,1024,8388608,24,1,4194304,0,0,0,1691.532012,67230354240.000000,65654641.000000,0,0,5399.882456
