test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,39306.272646,3623878224000.000000,5449.712187
omap,0,0,1,1,1024,8388608,24,1,1,0.168320,14206233.600000,0,0.350166,26835840.000000,26205.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,2,0,0,0,0.334534,27302400.000000,26661.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,4,0,0,0,0.347155,27959040.000000,27302.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,8,0,0,0,0.341754,28494720.000000,27825.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,16,0,0,0,0.382003,30507840.000000,29791.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,32,0,0,0,0.447555,34067520.000000,33268.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,64,0,0,0,0.510573,41497920.000000,40524.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,128,0,0,0,0.692841,56151360.000000,54834.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,256,0,0,0,1.087070,84291840.000000,82315.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,512,0,0,0,1.791434,135820800.000000,132636.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,1024,0,0,0,3.126582,232873920.000000,227414.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,2048,0,0,0,5.689844,409907520.000000,400299.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,4096,0,0,0,10.081458,730200960.000000,713085.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,8192,0,0,0,18.386340,1303680960.000000,1273124.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,16384,0,0,0,32.494389,2309860800.000000,2255722.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,32768,0,0,0,57.025758,4036754880.000000,3942142.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,65536,0,0,0,101.123765,6942136320.000000,6779429.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,131072,0,0,0,177.673057,11650443840.000000,11377385.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,262144,0,0,0,306.396681,18904942080.000000,18461856.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,524288,0,0,0,521.126155,29268950400.000000,28582958.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,1048576,0,0,0,844.220271,42532499520.000000,41535643.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,2097152,0,0,0,1298.447586,56517575040.000000,55192943.000000,0,0,5449.712187
omap,0,0,1,1,1024,8388608,24,1,4194304,0,0,0,1657.735961,67236091200.000000,65660244.000000,0,0,5449.712187
