test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,1,1,1,128,8388608,24,1,0,0,0,0.000000,0,0,0,38985.788950,617401475200.000000,5560.685827
omap,0,1,1,1,128,8388608,24,1,1,0.205152,2423294.720000,0,0.374867,4586752.000000,35833.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,2,0,0,0,0.365256,4630912.000000,36178.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,4,0,0,0,0.382509,4726592.000000,36925.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,8,0,0,0,0.383256,4873792.000000,38075.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,16,0,0,0,0.416191,5210880.000000,40709.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,32,0,0,0,0.453179,5920384.000000,46252.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,64,0,0,0,0.644309,7062656.000000,55176.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,128,0,0,0,0.806275,9623936.000000,75186.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,256,0,0,0,1.211342,14353472.000000,112135.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,512,0,0,0,2.019747,23078016.000000,180296.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,1024,0,0,0,3.472298,39602688.000000,309395.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,2048,0,0,0,6.251618,69830208.000000,545547.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,4096,0,0,0,11.048633,124466432.000000,972393.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,8192,0,0,0,20.012193,221646400.000000,1731611.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,16384,0,0,0,34.249231,393038720.000000,3070614.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,32768,0,0,0,59.853805,688039296.000000,5375306.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,65536,0,0,0,105.816178,1183195072.000000,9243710.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,131072,0,0,0,197.345730,1985498368.000000,15511705.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,262144,0,0,0,331.046651,3220652096.000000,25161343.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,524288,0,0,0,576.306755,4990199232.000000,38985930.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,1048576,0,0,0,902.248097,7244461248.000000,56597352.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,2097152,0,0,0,1278.759679,9631017792.000000,75242325.000000,0,0,5560.685827
omap,0,1,1,1,128,8388608,24,1,4194304,0,0,0,1616.840359,11454990656.000000,89492113.000000,0,0,5560.685827
