test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,300,8388608,8,1,0,0,0,13.146921,0,0,0,122.563422,1217543424.000000,0,76971.458272
ofs,0,0,0,1,300,8388608,8,1,1,2.299621,1131680080.000000,0,831.667068,4362697920.000000,14532057.000000,0,0,10269.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,2,2.811629,1454838720.000000,0,131.897911,4524141040.000000,15068626.000000,0,0,11844.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,3,0.165598,34505536.000000,0,38.899513,111675136.000000,371420.000000,0,0,830.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,4,0.493635,203507120.000000,0,54.661235,709408960.000000,2363429.000000,0,0,1267.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,5,0.175403,42219712.000000,0,36.689734,104131360.000000,346325.000000,0,0,779.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,6,0.532258,243968448.000000,0,57.001277,729543504.000000,2430748.000000,0,0,1063.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,7,0.187489,39753840.000000,0,42.402300,104130400.000000,346659.000000,0,0,442.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,8,0.544736,264181232.000000,0,113.462507,729579264.000000,2430721.000000,0,0,1209.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,9,0.562593,284403136.000000,0,1031.311017,709391200.000000,2362308.000000,0,0,2329.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,10,0.186724,44875424.000000,0,32.040635,106653152.000000,354610.000000,0,0,900.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,11,0.143362,7074128.000000,0,29.858616,18373216.000000,61129.000000,0,0,115.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,12,0.711019,284427856.000000,0,567.701182,729553104.000000,2430743.000000,0,0,1100.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,13,0.681667,304644960.000000,0,82.153161,729578784.000000,2427143.000000,0,0,4786.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,14,0.206365,44915264.000000,0,374.514125,106679072.000000,355455.000000,0,0,141.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,15,0.217854,44919104.000000,0,40.841031,106661792.000000,354571.000000,0,0,968.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,16,197.878314,1778045360.000000,0,518.957159,4362699360.000000,14526071.000000,0,0,16260.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,17,44.472649,2651928880.000000,0,327.154576,5302934480.000000,17504025.000000,0,0,172423.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,18,0.201142,47466096.000000,0,80.600408,104150800.000000,346296.000000,0,0,873.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,19,53.952386,5302749200.000000,0,422.756228,5302918880.000000,16800335.000000,0,0,876061.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,20,0.593725,264315392.000000,0,91.853527,669033072.000000,2227830.000000,0,0,2280.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,21,5.463748,1616603440.000000,0,483.216827,4362712320.000000,14532955.000000,0,0,9419.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,22,67.869071,1616617840.000000,0,389.245592,4524187120.000000,15072195.000000,0,0,8428.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,23,1.471440,284496976.000000,0,291.051506,769934992.000000,2565091.000000,0,0,1358.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,24,1.657417,304712640.000000,0,275.718621,709385200.000000,2363390.000000,0,0,1227.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,25,60.856833,1778115920.000000,0,384.408261,4524181360.000000,15049486.000000,0,0,31118.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,26,0.153282,2753440.000000,0,98.284272,5114016.000000,17044.000000,0,0,2.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,27,55.710048,1778107760.000000,0,541.639561,4524186160.000000,15038182.000000,0,0,42438.000000,76971.458272
ofs,0,0,0,1,300,8388608,8,1,28,0.133342,7872384.000000,0,51.970758,18671424.000000,62213.000000,0,0,25.000000,76971.458272
