test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,4,2,2,1,0,0.000151,477.600000,0.000000,0.000129,480.000000,119.000000,0.000460,0.000000,0.058358
omap,0,0,0,1,4,2,2,1,0,0.000227,477.600000,0.000000,0.000150,480.000000,119.000000,0.000703,0.000000,0.103215
omap,0,0,0,1,4,1024,11,1,0,0.004055,97614.000000,0.000000,0.004131,98625.600000,24655.400000,0.000291,0.000000,1.638262
omap,0,0,0,1,4,1024,11,1,0,0.006230,97300.800000,0.000000,0.006103,99026.400000,24755.600000,0.000423,0.000000,2.478203
omap,0,0,0,1,4,2048,12,1,0,0.004673,124987.200000,0.000000,0.004790,127449.600000,31861.400000,0.000291,0.000000,1.893784
omap,0,0,0,1,4,2048,12,1,0,0.007613,125523.600000,0.000000,0.007549,127420.800000,31854.200000,0.000438,0.000000,3.052291
omap,0,0,0,1,4,4096,13,1,0,0.009354,154328.400000,0.000000,0.008986,159922.800000,39979.700000,0.000441,0.000000,3.688925
omap,0,0,0,1,4,8192,14,1,0,0.010999,189459.600000,0.000000,0.011133,199267.200000,49815.800000,0.000448,0.000000,4.445083
omap,0,0,0,1,4,16384,15,1,0,0.013268,221418.000000,0.000000,0.012856,237040.800000,59259.200000,0.000412,0.000000,5.246400
omap,0,0,0,1,4,32768,16,1,0,0.014135,254560.800000,0.000000,0.013889,276639.600000,69158.900000,0.000408,0.000000,5.636123
omap,0,0,0,1,4,65536,17,1,0,0.016473,292154.400000,0.000000,0.017049,319885.200000,79970.300000,0.000411,0.000000,6.751848
omap,0,0,0,1,4,131072,18,1,0,0.018045,326971.200000,0.000000,0.018328,359808.000000,89951.000000,0.000421,0.000000,7.373542
omap,0,0,0,1,4,262144,19,1,0,0.021430,362667.600000,0.000000,0.021264,398823.600000,99704.900000,0.000421,0.000000,8.858150
omap,0,0,0,1,4,524288,20,1,0,0.023836,404046.000000,0.000000,0.023823,443475.600000,110867.900000,3.402846,0.000000,18.340101
omap,0,0,0,1,4,4,3,1,0,0.000217,1430.400000,0.000000,0.000204,1435.200000,357.800000,0.000321,0.000000,0.085487
omap,0,0,0,1,4,4,3,1,0,0.000295,1432.800000,0.000000,0.000284,1437.600000,358.400000,0.000409,0.000000,0.124386
omap,0,0,0,1,4,1048576,21,1,0,0.025941,443912.400000,0.000000,0.026239,485619.600000,121403.900000,23.661300,0.000000,59.760340
omap,0,0,0,1,4,2097152,22,1,0,0.028470,484636.800000,0.000000,0.028104,529339.200000,132333.800000,65.700377,0.000000,144.717747
omap,0,0,0,1,4,4194304,23,1,0,0.031982,533346.000000,0.000000,0.031310,579229.200000,144806.300000,124.514878,0.000000,263.690958
omap,0,0,0,1,4,8388608,24,1,0,0.034902,577398.000000,0.000000,0.034232,626576.400000,156643.100000,192.852808,0.000000,401.535228
omap,0,0,0,1,4,16777216,25,1,0,0.036699,624685.200000,0.000000,0.036703,675358.800000,168838.700000,271.961559,0.000000,560.605429
omap,0,0,0,1,4,8,4,1,0,0.000373,3297.600000,0.000000,0.000359,3316.800000,828.200000,0.000302,0.000000,0.147678
omap,0,0,0,1,4,8,4,1,0,0.000510,3280.800000,0.000000,0.000503,3312.000000,827.000000,0.000474,0.000000,0.211427
omap,0,0,0,1,4,16,5,1,0,0.000666,6830.400000,0.000000,0.000655,6861.600000,1714.400000,0.000304,0.000000,0.265313
omap,0,0,0,1,4,16,5,1,0,0.000855,6796.800000,0.000000,0.000808,6856.800000,1713.200000,0.000453,0.000000,0.341722
omap,0,0,0,1,4,32,6,1,0,0.001065,12678.000000,0.000000,0.001078,12823.200000,3204.800000,0.000281,0.000000,0.429895
omap,0,0,0,1,4,32,6,1,0,0.001294,12758.400000,0.000000,0.001410,12782.400000,3194.600000,0.000431,0.000000,0.549477
omap,0,0,0,1,4,64,7,1,0,0.001595,21846.000000,0.000000,0.001614,21950.400000,5486.600000,0.000283,0.000000,0.642990
omap,0,0,0,1,4,64,7,1,0,0.001946,21736.800000,0.000000,0.001976,21988.800000,5496.200000,0.000450,0.000000,0.794719
omap,0,0,0,1,4,128,8,1,0,0.002228,35025.600000,0.000000,0.002228,35200.800000,8799.200000,0.000296,0.000000,0.892484
omap,0,0,0,1,4,128,8,1,0,0.002804,34993.200000,0.000000,0.002808,35438.400000,8858.600000,0.000467,0.000000,1.131924
omap,0,0,0,1,4,256,9,1,0,0.002789,51548.400000,0.000000,0.002833,52240.800000,13059.200000,0.000299,0.000000,1.125589
omap,0,0,0,1,4,256,9,1,0,0.003684,51584.400000,0.000000,0.003682,52226.400000,13055.600000,0.000459,0.000000,1.488394
omap,0,0,0,1,4,512,10,1,0,0.003437,71749.200000,0.000000,0.003428,72691.200000,18171.800000,0.000316,0.000000,1.374103
omap,0,0,0,1,4,512,10,1,0,0.004958,72277.200000,0.000000,0.005091,72554.400000,18137.600000,0.000458,0.000000,2.020054
