test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,4,2,0,0,0,0,0,0,3.291827,34086528.000000,0,69.265910
ofs,0,0,0,1,64,8388608,4,2,1,0.004671,0.000000,0.231025,4189776.000000,65464.000000,0,0,1.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,2,0.004613,0.000000,0.219196,4283568.000000,66928.000000,0,0,2.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,4,0.005027,0.000000,0.233343,4284432.000000,66940.000000,0,0,4.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,8,0.006098,0.000000,0.219817,4205760.000000,65707.000000,0,0,8.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,16,0.005816,0.000000,0.224233,4333440.000000,67694.000000,0,0,16.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,32,0.005471,0.000000,0.232009,4378560.000000,68383.000000,0,0,32.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,64,0.010849,0.000000,0.382492,7459296.000000,116487.000000,0,0,64.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,128,0.002748,0.000000,0.257786,41716032.000000,651685.000000,0,0,128.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,256,0.002688,0.000000,0.236794,45264384.000000,707000.000000,0,0,256.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,512,0.002750,0.000000,0.253439,40590048.000000,633707.000000,0,0,512.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,1024,0.002877,0.000000,0.264283,45313824.000000,707004.000000,0,0,1024.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,2048,0.002906,0.000000,0.240069,42965856.000000,669293.000000,0,0,2048.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,4096,0.005311,0.000000,0.390037,96512112.000000,1503905.000000,0,0,4096.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,8192,0.002570,0.000000,3.921120,1512455280.000000,23623921.000000,0,0,8192.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,16384,0.002403,0.000000,4.242760,1814400912.000000,28333630.000000,0,0,16384.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,32768,0.002829,0.000000,4.402659,1738894944.000000,27137465.000000,0,0,32768.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,65536,0.003307,0.000000,4.324636,1738902624.000000,27104817.000000,0,0,65536.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,131072,0.004801,0.000000,4.460448,1814423472.000000,28219294.000000,0,0,131072.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,262144,0.014723,0.000000,8.768373,3476638848.000000,54060338.000000,0,0,262144.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,524288,0.029909,0.000000,2.579074,672288432.000000,9980218.000000,0,0,524288.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,1048576,0.059060,0.000000,2.562745,672319872.000000,9456422.000000,0,0,1048576.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,2097152,0.118405,0.000000,2.638479,672311472.000000,8407714.000000,0,0,2097152.000000,69.265910
ofs,0,0,0,1,64,8388608,4,2,4194304,0.233925,0.000000,2.774425,672325152.000000,6310776.000000,0,0,4194304.000000,69.265910
