test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,64,8388608,4,2,0,0,0,0,0,0,3.507474,34086528.000000,0,130.763659
ofs,0,0,1,1,64,8388608,4,2,1,0.005452,0.000000,0.219229,4193040.000000,65515.000000,0,0,1.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,2,0.005590,0.000000,0.237621,4236528.000000,66193.500000,0,0,2.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,4,0.004932,0.000000,0.229500,4232328.000000,66125.500000,0,0,4.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,8,0.005423,0.000000,0.234263,4246392.000000,66341.500000,0,0,8.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,16,0.005738,0.000000,0.230332,4332600.000000,67680.500000,0,0,16.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,32,0.006571,0.000000,0.222241,4320912.000000,67481.500000,0,0,32.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,64,0.011544,0.000000,0.380882,7484784.000000,116885.000000,0,0,64.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,128,0.002789,0.000000,0.264961,43531848.000000,680057.000000,0,0,128.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,256,0.002893,0.000000,0.280483,44085840.000000,688585.000000,0,0,256.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,512,0.002822,0.000000,0.253037,44103960.000000,688612.000000,0,0,512.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,1024,0.002929,0.000000,0.252963,44142360.000000,688700.000000,0,0,1024.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,2048,0.002724,0.000000,0.242642,44126280.000000,687425.000000,0,0,2048.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,4096,0.005143,0.000000,0.418609,87063720.000000,1356274.500000,0,0,4096.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,8192,0.002930,0.000000,4.407832,1663393656.000000,25982333.500000,0,0,8192.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,16384,0.002615,0.000000,4.554142,1738894824.000000,27153847.000000,0,0,16384.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,32768,0.002838,0.000000,4.564128,1776644088.000000,27727295.500000,0,0,32768.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,65536,0.003569,0.000000,4.321774,1663400616.000000,25925098.500000,0,0,65536.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,131072,0.005013,0.000000,4.288008,1587919008.000000,24680162.500000,0,0,131072.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,262144,0.015680,0.000000,8.941561,3401123880.000000,52880416.500000,0,0,262144.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,524288,0.030616,0.000000,2.816533,672304152.000000,9980464.000000,0,0,524288.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,1048576,0.061784,0.000000,2.708876,672317712.000000,9456388.000000,0,0,1048576.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,2097152,0.121640,0.000000,2.644346,672302472.000000,8407573.500000,0,0,2097152.000000,130.763659
ofs,0,0,1,1,64,8388608,4,2,4194304,0.239929,0.000000,2.712929,672297792.000000,6310348.500000,0,0,4194304.000000,130.763659
