test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,0,64,8388608,3,128,0,0,0,0,0,0,641.995655,8421120.000000,0,39060.102523
ofs,0,0,0,0,64,8388608,3,128,1,0.010563,0.000000,57.771655,7774440.000000,121474.000000,0,0,1.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,2,0.111418,0.000000,47.491213,7438992.000000,116232.000000,0,0,2.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,4,0.205314,0.000000,49.651038,7378368.000000,115283.000000,0,0,4.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,8,0.129506,0.000000,39.461909,7309464.000000,114202.000000,0,0,8.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,16,0.204560,0.000000,33.790902,7408320.000000,115738.500000,0,0,16.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,32,0.129796,0.000000,44.025107,7364928.000000,115044.500000,0,0,32.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,64,0.205055,0.000000,47.546136,7515696.000000,117368.500000,0,0,64.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,128,0.134184,0.000000,48.402547,7573248.000000,118204.000000,0,0,128.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,256,0.385119,0.000000,61.535612,13512744.000000,210880.500000,0,0,256.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,512,0.687943,0.000000,151.090763,26088432.000000,407119.500000,0,0,512.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,1024,1.480798,0.000000,276.044220,50459016.000000,787398.000000,0,0,1024.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,2048,2.862628,0.000000,508.121053,101369976.000000,1581857.500000,0,0,2048.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,4096,6.204686,0.000000,997.247309,203664456.000000,3178160.500000,0,0,4096.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,8192,14.831637,0.000000,2213.082682,409924152.000000,6396872.500000,0,0,8192.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,16384,28.592665,0.000000,4195.293640,827353032.000000,12911007.000000,0,0,16384.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,32768,0.028819,0.000000,34.539566,606730248.000000,9447391.500000,0,0,32768.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,65536,0.112096,0.000000,67.218298,1212282576.000000,18876379.000000,0,0,65536.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,131072,0.176869,0.000000,119.201155,2413868640.000000,37585625.000000,0,0,131072.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,262144,0.400039,0.000000,224.130006,4836015792.000000,75300602.500000,0,0,262144.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,524288,0.715686,0.000000,429.722232,9680208576.000000,150728970.500000,0,0,524288.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,1048576,1.590651,0.000000,835.377688,19378251816.000000,301736608.500000,0,0,1048576.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,2097152,3.262746,0.000000,1872.957833,38755578912.000000,603458768.000000,0,0,2097152.000000,39060.102523
ofs,0,0,0,0,64,8388608,3,128,4194304,13.322854,0.000000,4207.707803,77510935704.000000,1206914066.000000,0,0,4194304.000000,39060.102523
