test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,0,64,8388608,4,16,0,0,0,0,0,0,23.541718,34086528.000000,0,1336.088116
ofs,0,0,1,0,64,8388608,4,16,1,0.018716,0.000000,0.986578,4479936.000000,69997.600000,0,0,1.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,2,0.019344,0.000000,1.143940,4474636.800000,69913.800000,0,0,2.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,4,0.018574,0.000000,1.070687,4505539.200000,70394.600000,0,0,4.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,8,0.017329,0.000000,1.053600,4540147.200000,70931.400000,0,0,8.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,16,0.014862,0.000000,1.121311,4498003.200000,70264.800000,0,0,16.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,32,0.014040,0.000000,1.084754,4555420.800000,71146.000000,0,0,32.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,64,0.033110,0.000000,1.783178,7927449.600000,123802.000000,0,0,64.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,128,0.070902,0.000000,3.135061,14664345.600000,229002.000000,0,0,128.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,256,0.120405,0.000000,6.617046,28401206.400000,443512.400000,0,0,256.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,512,0.267199,0.000000,12.888105,56427993.600000,881175.200000,0,0,512.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,1024,0.006713,0.000000,0.849659,48714115.200000,760133.400000,0,0,1024.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,2048,0.006746,0.000000,0.947974,49897603.200000,777601.600000,0,0,2048.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,4096,0.014327,0.000000,1.607930,96471091.200000,1503264.400000,0,0,4096.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,8192,0.027414,0.000000,2.633079,193392480.000000,3013565.200000,0,0,8192.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,16384,0.051891,0.000000,5.328154,393447926.400000,6131239.400000,0,0,16384.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,32768,0.117337,0.000000,10.754191,813669379.200000,12680815.600000,0,0,32768.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,65536,0.008744,0.000000,6.086932,1814502336.000000,28286062.600000,0,0,65536.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,131072,0.005922,0.000000,6.440518,1799400854.400000,27984566.000000,0,0,131072.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,262144,0.016667,0.000000,10.650845,3567392313.600000,55478360.600000,0,0,262144.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,524288,0.043281,0.000000,20.122035,7239291062.400000,112589634.400000,0,0,524288.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,1048576,0.086892,0.000000,39.821384,14492507750.400000,225396857.400000,0,0,1048576.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,2097152,0.172458,0.000000,80.262134,28983921580.799999,450776622.400000,0,0,2097152.000000,1336.088116
ofs,0,0,1,0,64,8388608,4,16,4194304,0.234202,0.000000,2.807602,672306672.000000,6310487.400000,0,0,4194304.000000,1336.088116
