test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,0,64,8388608,4,2,0,0,0,0,0,0,23.723243,34086528.000000,0,102.078491
ofs,0,0,1,0,64,8388608,4,2,1,0.021880,0.000000,0.531253,4170048.000000,65156.000000,0,0,1.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,2,0.026971,0.000000,0.545470,4225968.000000,66028.000000,0,0,2.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,4,0.018725,0.000000,0.526026,4241664.000000,66272.000000,0,0,4.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,8,0.024209,0.000000,0.563580,4251120.000000,66415.000000,0,0,8.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,16,0.023307,0.000000,0.539542,4314480.000000,67397.000000,0,0,16.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,32,0.021548,0.000000,0.558161,4320288.000000,67472.000000,0,0,32.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,64,0.043138,0.000000,0.928531,7504704.000000,117197.000000,0,0,64.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,128,0.011360,0.000000,0.513735,42939216.000000,670797.000000,0,0,128.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,256,0.010778,0.000000,0.531895,40569648.000000,633644.000000,0,0,256.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,512,0.009927,0.000000,0.784558,42939696.000000,670420.000000,0,0,512.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,1024,0.007344,0.000000,0.938265,46498128.000000,725509.000000,0,0,1024.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,2048,0.011769,0.000000,1.043468,45307584.000000,705883.000000,0,0,2048.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,4096,0.024017,0.000000,1.630179,97694256.000000,1522376.000000,0,0,4096.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,8192,0.004735,0.000000,5.388642,1587906288.000000,24802843.000000,0,0,8192.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,16384,0.004751,0.000000,5.437426,1587903168.000000,24794603.000000,0,0,16384.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,32768,0.004596,0.000000,7.131284,1738880544.000000,27137240.000000,0,0,32768.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,65536,0.006032,0.000000,5.319992,1738903104.000000,27104825.000000,0,0,65536.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,131072,0.006849,0.000000,6.900663,1814415552.000000,28219171.000000,0,0,131072.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,262144,0.018628,0.000000,10.865903,3552134976.000000,55239965.000000,0,0,262144.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,524288,0.033145,0.000000,2.615814,672313872.000000,9980616.000000,0,0,524288.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,1048576,0.064626,0.000000,2.865090,672323712.000000,9456482.000000,0,0,1048576.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,2097152,0.126554,0.000000,2.765350,672302352.000000,8407572.000000,0,0,2097152.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,4194304,0.247982,0.000000,3.042310,672294912.000000,6310304.000000,0,0,4194304.000000,102.078491
ofs,0,0,1,0,64,8388608,4,2,0,0,0,0,0,0,23.289854,34086528.000000,0,106.492110
ofs,0,0,1,0,64,8388608,4,2,1,0.020967,0.000000,0.536510,4172880.000000,65200.000000,0,0,1.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,2,0.021229,0.000000,0.556303,4264992.000000,66638.000000,0,0,2.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,4,0.019520,0.000000,0.560597,4235568.000000,66176.000000,0,0,4.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,8,0.021009,0.000000,0.550964,4222080.000000,65962.000000,0,0,8.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,16,0.021070,0.000000,0.556819,4326960.000000,67592.000000,0,0,16.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,32,0.016646,0.000000,0.559400,4292832.000000,67043.000000,0,0,32.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,64,0.043023,0.000000,0.945446,7603632.000000,118742.000000,0,0,64.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,128,0.009993,0.000000,0.519742,41732352.000000,651940.000000,0,0,128.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,256,0.010589,0.000000,0.722807,44114880.000000,689039.000000,0,0,256.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,512,0.010192,0.000000,1.024289,42983616.000000,671107.000000,0,0,512.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,1024,0.009723,0.000000,1.127943,45315984.000000,707038.000000,0,0,1024.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,2048,0.009373,0.000000,1.006939,42952656.000000,669087.000000,0,0,2048.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,4096,0.021951,0.000000,1.681646,93012240.000000,1449220.000000,0,0,4096.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,8192,0.004598,0.000000,6.481976,1814418672.000000,28342099.000000,0,0,8192.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,16384,0.004542,0.000000,5.847780,1663441536.000000,25974890.000000,0,0,16384.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,32768,0.004977,0.000000,5.902352,1663400016.000000,25957857.000000,0,0,32768.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,65536,0.006700,0.000000,5.133012,1587928608.000000,24745848.000000,0,0,65536.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,131072,0.006848,0.000000,5.224349,1663415616.000000,25859797.000000,0,0,131072.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,262144,0.018841,0.000000,10.789176,3627610944.000000,56419277.000000,0,0,262144.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,524288,0.032435,0.000000,2.759425,672304272.000000,9980466.000000,0,0,524288.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,1048576,0.063322,0.000000,2.707006,672294432.000000,9456024.000000,0,0,1048576.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,2097152,0.124729,0.000000,2.786427,672311952.000000,8407722.000000,0,0,2097152.000000,106.492110
ofs,0,0,1,0,64,8388608,4,2,4194304,0.244829,0.000000,2.861786,672304992.000000,6310461.000000,0,0,4194304.000000,106.492110
ofs,0,0,1,0,64,8388608,4,8,0,0,0,0,0,0,27.555864,34086528.000000,0,178.497645
ofs,0,0,1,0,64,8388608,4,8,1,0.023416,0.000000,1.069435,4385040.000000,68515.000000,0,0,1.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,2,0.021532,0.000000,1.191378,4510080.000000,70468.000000,0,0,2.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,4,0.027020,0.000000,1.295745,4461312.000000,69704.000000,0,0,4.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,8,0.022236,0.000000,0.913710,4421328.000000,69075.000000,0,0,8.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,16,0.022208,0.000000,0.793887,4376256.000000,68363.000000,0,0,16.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,32,0.024438,0.000000,0.849530,4455456.000000,69584.000000,0,0,32.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,64,0.049854,0.000000,1.912931,7716480.000000,120506.000000,0,0,64.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,128,0.099014,0.000000,1.918552,14486256.000000,226219.000000,0,0,128.000000,178.497645
ofs,0,0,1,0,64,8388608,4,8,256,0.184653,0.000000,4.159870,27635712.000000,431552.000000,0,0,256.000000,178.497645
