test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,4,32,0,0,0,0,0,0,131.492900,34086528.000000,0,1332.998239
ofs,0,0,0,1,64,8388608,4,32,1,0.229795,0.000000,6.995712,4605456.000000,71959.000000,0,0,1.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,2,0.174941,0.000000,6.938259,4679856.000000,73120.000000,0,0,2.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,4,0.176630,0.000000,7.229792,4612224.000000,72062.000000,0,0,4.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,8,0.172133,0.000000,7.250429,4538784.000000,70910.000000,0,0,8.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,16,0.173180,0.000000,7.063383,4602528.000000,71898.000000,0,0,16.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,32,0.174912,0.000000,7.036890,4665312.000000,72863.000000,0,0,32.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,64,0.352687,0.000000,12.016918,8030112.000000,125406.000000,0,0,64.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,128,0.703095,0.000000,22.368628,15116880.000000,236073.000000,0,0,128.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,256,1.371150,0.000000,41.686703,29168160.000000,455496.000000,0,0,256.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,512,2.801672,0.000000,81.710884,57131808.000000,892172.000000,0,0,512.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,1024,5.586890,0.000000,160.966359,115540992.000000,1804304.000000,0,0,1024.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,2048,0.090894,0.000000,11.339551,50182080.000000,782047.000000,0,0,2048.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,4096,0.175231,0.000000,0,0,0,0,0,4096.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,8192,0.357402,0.000000,0,0,0,0,0,8192.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,16384,0.715965,0.000000,0,0,0,0,0,16384.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,32768,1.469421,0.000000,0,0,0,0,0,32768.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,65536,2.950484,0.000000,0,0,0,0,0,65536.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,131072,0.641854,0.000000,0,0,0,0,0,131072.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,262144,1.001786,0.000000,0,0,0,0,0,262144.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,524288,1.989277,0.000000,0,0,0,0,0,524288.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,1048576,3.989057,0.000000,0,0,0,0,0,1048576.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,2097152,7.965889,0.000000,0,0,0,0,0,2097152.000000,1332.998239
ofs,0,0,0,1,64,8388608,4,32,4194304,15.922096,0.000000,0,0,0,0,0,4194304.000000,1332.998239
