test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,3,4,0,0,0,0,0,0,857.381662,8421120.000000,0,1098.080280
ofs,0,0,0,1,64,8388608,3,4,1,0.928664,2956272.000000,5.986129,6532800.000000,102074.000000,0,0,1.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,2,1.136716,3232752.000000,5.877760,6513120.000000,101765.000000,0,0,2.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,4,1.263496,3649248.000000,6.936575,6484416.000000,101315.000000,0,0,4.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,8,1.250164,3542160.000000,6.362612,6624624.000000,103501.000000,0,0,8.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,16,1.270730,3465216.000000,8.258073,6259824.000000,97793.000000,0,0,16.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,32,1.299726,3510336.000000,8.699407,6510816.000000,101699.000000,0,0,32.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,64,1.271767,3693024.000000,9.487330,6743808.000000,105308.000000,0,0,64.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,128,1.265871,4086144.000000,5.484999,6954000.000000,108528.000000,0,0,128.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,256,1.929849,6299904.000000,9.985463,12302016.000000,191963.000000,0,0,256.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,512,3.290535,12626064.000000,21.031388,23690064.000000,369645.000000,0,0,512.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,1024,1.486092,190491360.000000,2.857897,587645664.000000,9180939.000000,0,0,1024.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,2048,1.450668,190521120.000000,3.539299,512161008.000000,8000467.000000,0,0,2048.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,4096,1.450293,209408304.000000,3.106940,568828800.000000,8883854.000000,0,0,4096.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,8192,1.547134,228284688.000000,3.505445,549894096.000000,8583903.000000,0,0,8192.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,16384,1.510939,209423184.000000,4.170199,549913296.000000,8576011.000000,0,0,16384.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,32768,1.674470,247181232.000000,4.451889,587690064.000000,9149889.000000,0,0,32768.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,65536,2.998910,530950272.000000,5.912436,1155257184.000000,17985357.000000,0,0,65536.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,131072,4.974311,1023058896.000000,10.155917,2215057488.000000,34479201.000000,0,0,131072.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,262144,3.604154,672249552.000000,8.058879,1343395104.000000,20728404.000000,0,0,262144.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,524288,6.483781,1343351664.000000,8.102345,1343393424.000000,20466234.000000,0,0,524288.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,1048576,6.999322,1343339904.000000,7.994280,1343405184.000000,19942130.000000,0,0,1048576.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,2097152,7.967869,1343356224.000000,8.153860,1343397024.000000,18893426.000000,0,0,2097152.000000,1098.080280
ofs,0,0,0,1,64,8388608,3,4,4194304,8.090296,1343366304.000000,8.358261,1343380464.000000,16796015.000000,0,0,4194304.000000,1098.080280
