test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,2,2,1,0,0.000230,2833.760000,0.000000,0.000172,2848.000000,8.000000,0.000691,0.000000,0.069326
omap,0,0,1,1,300,1024,11,1,0,0.006757,578742.080000,0.000000,0.006872,587371.520000,1956.540000,0.000615,0.000000,1.368894
omap,0,0,1,1,300,2048,12,1,0,0.008357,738173.120000,0.000000,0.008309,755389.280000,2516.460000,0.000614,0.000000,1.674019
omap,0,0,1,1,300,4096,13,1,0,0.010410,919661.920000,0.000000,0.010300,949893.440000,3164.790000,0.000603,0.000000,2.082614
omap,0,0,1,1,300,8192,14,1,0,0.012344,1120303.520000,0.000000,0.012281,1184397.760000,3946.500000,0.000618,0.000000,2.479470
omap,0,0,1,1,300,16384,15,1,0,0.014308,1312657.440000,0.000000,0.014173,1408905.600000,4694.840000,0.000622,0.000000,2.874811
omap,0,0,1,1,300,32768,16,1,0,0.016396,1514893.920000,0.000000,0.016282,1637941.760000,5458.240000,0.000640,0.000000,3.337183
omap,0,0,1,1,300,65536,17,1,0,0.019045,1734261.120000,0.000000,0.019185,1900427.680000,6333.290000,0.000598,0.000000,4.028033
omap,0,0,1,1,300,131072,18,1,0,0.021436,1941894.560000,0.000000,0.021446,2128481.280000,7093.420000,0.000654,0.000000,4.844438
omap,0,0,1,1,300,262144,19,1,0,0.024065,2156192.320000,0.000000,0.023617,2366645.280000,7887.320000,0.000641,0.000000,5.769953
omap,0,0,1,1,300,524288,20,1,0,0.027087,2388731.520000,0.000000,0.026917,2634471.200000,8780.020000,0.003862,0.000000,6.405907
omap,0,0,1,1,300,4,3,1,0,0.000328,8501.280000,0.000000,0.000299,8515.520000,26.900000,0.000652,0.000000,0.067225
omap,0,0,1,1,300,1048576,21,1,0,0.030440,2626169.280000,0.000000,0.029903,2884938.560000,9614.960000,0.000664,0.000000,7.035917
omap,0,0,1,1,300,2097152,22,1,0,0.033177,2873119.360000,0.000000,0.033113,3133227.200000,10442.550000,0.000691,0.000000,7.630680
omap,0,0,1,1,300,4194304,23,1,0,0.037624,3153120.480000,0.000000,0.037469,3440725.760000,11467.570000,0.000780,0.000000,8.511263
omap,0,0,1,1,300,8388608,24,1,0,0.039769,3425360.800000,0.000000,0.041202,3711499.360000,12370.170000,0.000695,0.000000,9.099418
omap,0,0,1,1,300,16777216,25,1,0,0.042696,3707255.840000,0.000000,0.044858,4012319.360000,13372.890000,0.000714,0.000000,9.762862
omap,0,0,1,1,300,8,4,1,0,0.000550,19551.520000,0.000000,0.000505,19594.240000,63.800000,0.000644,0.000000,0.109386
omap,0,0,1,1,300,16,5,1,0,0.000903,40398.880000,0.000000,0.000785,40413.120000,133.050000,0.000615,0.000000,0.172760
omap,0,0,1,1,300,32,6,1,0,0.001497,75144.480000,0.000000,0.001481,75443.520000,249.880000,0.000585,0.000000,0.301697
omap,0,0,1,1,300,64,7,1,0,0.002228,128957.440000,0.000000,0.002161,130523.840000,433.660000,0.000638,0.000000,0.445542
omap,0,0,1,1,300,128,8,1,0,0.002894,205810.720000,0.000000,0.003086,210695.040000,700.930000,0.000699,0.000000,0.603126
omap,0,0,1,1,300,256,9,1,0,0.004195,307242.240000,0.000000,0.004323,313023.680000,1041.900000,0.000601,0.000000,0.858241
omap,0,0,1,1,300,512,10,1,0,0.005162,430589.120000,0.000000,0.005336,428737.920000,1427.670000,0.000632,0.000000,1.056251
