test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,4,8388608,24,1,0,0,0,0,0,0,78.409792,2147477120.000000,0,167.626544
ofs,0,0,1,1,4,8388608,24,1,1,0.005891,0.000000,0.045079,1339040.000000,334759.000000,0,0,1.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,2,0.006642,0.000000,0.044627,1340808.000000,335200.000000,0,0,2.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,4,0.004762,0.000000,0.052505,1334488.000000,333618.000000,0,0,4.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,8,0.004241,0.000000,0.044783,1339824.000000,334948.000000,0,0,8.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,16,0.003947,0.000000,0.043941,1358784.000000,339680.000000,0,0,16.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,32,0.003561,0.000000,0.043155,1383536.000000,345852.000000,0,0,32.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,64,0.002878,0.000000,0.042811,1401240.000000,350246.000000,0,0,64.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,128,0.003504,0.000000,0.051703,1432992.000000,358120.000000,0,0,128.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,256,0.002342,0.000000,0.044303,1491272.000000,372562.000000,0,0,256.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,512,0.002169,0.000000,0.041563,1633712.000000,407916.000000,0,0,512.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,1024,0.001778,0.000000,0.042222,1864568.000000,465118.000000,0,0,1024.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,2048,0.001557,0.000000,0.052140,2328792.000000,580150.000000,0,0,2048.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,4096,0.001459,0.000000,0.048763,3212952.000000,799142.000000,0,0,4096.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,8192,0.001355,0.000000,0.051852,4762240.000000,1182368.000000,0,0,8192.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,16384,0.001014,0.000000,0.062368,7669440.000000,1900976.000000,0,0,16384.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,32768,0.000836,0.000000,0.081297,13165520.000000,3258612.000000,0,0,32768.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,65536,0.000773,0.000000,0.110205,22868200.000000,5651514.000000,0,0,65536.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,131072,0.000787,0.000000,0.165866,43324736.000000,10700112.000000,0,0,131072.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,262144,0.000736,0.000000,0.305238,76871232.000000,18955664.000000,0,0,262144.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,524288,0.000811,0.000000,0.590691,169149056.000000,41762976.000000,0,0,524288.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,1048576,0.001232,0.000000,0.574672,169155176.000000,41240218.000000,0,0,1048576.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,2097152,0.003067,0.000000,0.576620,169136272.000000,40186916.000000,0,0,2097152.000000,167.626544
ofs,0,0,1,1,4,8388608,24,1,4194304,0.003784,0.000000,0.567767,169155312.000000,38094524.000000,0,0,4194304.000000,167.626544
