test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,64,2,2,1,0,0.000164,955.200000,0.000000,0.000149,960.000000,14.000000,0.000389,0.000000,0.072849
omap,0,0,0,1,64,1024,11,1,0,0.006374,194457.600000,0.000000,0.006331,198595.200000,3102.050000,0.000425,0.000000,2.559184
omap,0,0,0,1,64,2048,12,1,0,0.007688,249364.800000,0.000000,0.007931,256480.800000,4006.510000,0.000427,0.000000,3.138490
omap,0,0,0,1,64,4096,13,1,0,0.009465,308704.800000,0.000000,0.009409,320618.400000,5008.620000,0.000436,0.000000,3.790897
omap,0,0,0,1,64,8192,14,1,0,0.011637,378537.600000,0.000000,0.011442,397941.600000,6216.615000,0.000425,0.000000,4.636102
omap,0,0,0,1,64,16384,15,1,0,0.013533,442485.600000,0.000000,0.013486,475372.800000,7426.435000,0.000434,0.000000,5.439892
omap,0,0,0,1,64,32768,16,1,0,0.015422,509131.200000,0.000000,0.015065,553869.600000,8652.970000,0.000442,0.000000,6.148361
omap,0,0,0,1,64,65536,17,1,0,0.017550,583663.200000,0.000000,0.017512,640488.000000,10006.365000,0.000423,0.000000,7.112159
omap,0,0,0,1,64,131072,18,1,0,0.019679,653846.400000,0.000000,0.019917,718680.000000,11228.125000,0.000456,0.000000,8.243926
omap,0,0,0,1,64,262144,19,1,0,0.022030,723652.800000,0.000000,0.022333,795710.400000,12431.725000,3.102159,0.000000,17.079058
omap,0,0,0,1,64,524288,20,1,0,0.024158,807204.000000,0.000000,0.024233,889423.200000,13895.970000,22.307509,0.000000,56.295602
omap,0,0,0,1,64,4,3,1,0,0.000259,2865.600000,0.000000,0.000255,2880.000000,44.000000,0.000346,0.000000,0.112003
omap,0,0,0,1,64,1048576,21,1,0,0.026786,887779.200000,0.000000,0.026352,972331.200000,15191.420000,61.198731,0.000000,135.028027
omap,0,0,0,1,64,2097152,22,1,0,0.029657,968973.600000,0.000000,0.029391,1057324.800000,16519.445000,115.460912,0.000000,244.733631
omap,0,0,0,1,64,4194304,23,1,0,0.032795,1064596.800000,0.000000,0.032103,1158804.000000,18105.020000,185.362294,0.000000,385.706210
omap,0,0,0,1,64,8388608,24,1,0,0.036352,1154193.600000,0.000000,0.035618,1251902.400000,19559.725000,260.643643,0.000000,537.683941
omap,0,0,0,1,64,16777216,25,1,0,0.039310,1248542.400000,0.000000,0.039965,1349817.600000,21089.660000,343.968434,0.000000,705.794257
omap,0,0,0,1,64,8,4,1,0,0.000447,6590.400000,0.000000,0.000425,6624.000000,102.500000,0.000340,0.000000,0.182224
omap,0,0,0,1,64,16,5,1,0,0.000750,13672.800000,0.000000,0.000853,13680.000000,212.750000,0.000357,0.000000,0.328872
omap,0,0,0,1,64,32,6,1,0,0.001390,25730.400000,0.000000,0.001286,25492.800000,397.325000,0.000354,0.000000,0.552300
omap,0,0,0,1,64,64,7,1,0,0.002032,43941.600000,0.000000,0.001925,43977.600000,686.150000,0.000378,0.000000,0.803607
omap,0,0,0,1,64,128,8,1,0,0.003143,69748.800000,0.000000,0.003162,70598.400000,1102.100000,0.000392,0.000000,1.271206
omap,0,0,0,1,64,256,9,1,0,0.003867,103068.000000,0.000000,0.003888,104030.400000,1624.475000,0.000366,0.000000,1.560810
omap,0,0,0,1,64,512,10,1,0,0.005214,144208.800000,0.000000,0.005150,145488.000000,2272.250000,0.000389,0.000000,2.084716
omap,0,0,1,1,64,2,2,1,0,0.000165,955.200000,0.000000,0.000151,960.000000,14.000000,0.000417,0.000000,0.069760
omap,0,0,1,1,64,1024,11,1,0,0.006213,194764.800000,0.000000,0.006447,197544.000000,3085.625000,0.000397,0.000000,2.541745
omap,0,0,1,1,64,2048,12,1,0,0.007747,249444.000000,0.000000,0.007775,256104.000000,4000.620000,0.000400,0.000000,3.115541
omap,0,0,1,1,64,4096,13,1,0,0.009640,309955.200000,0.000000,0.009354,319869.600000,4996.930000,0.000410,0.000000,3.814741
omap,0,0,1,1,64,8192,14,1,0,0.011518,378801.600000,0.000000,0.011613,397704.000000,6212.955000,0.000442,0.000000,4.642228
omap,0,0,1,1,64,16384,15,1,0,0.013635,443500.800000,0.000000,0.013643,475264.800000,7424.760000,0.000461,0.000000,5.487867
omap,0,0,1,1,64,32768,16,1,0,0.015463,508538.400000,0.000000,0.015397,552542.400000,8632.210000,0.000465,0.000000,6.216476
omap,0,0,1,1,64,65536,17,1,0,0.018019,584467.200000,0.000000,0.018037,640732.800000,10010.255000,0.000464,0.000000,7.298632
omap,0,0,1,1,64,131072,18,1,0,0.019743,652096.800000,0.000000,0.019725,717996.000000,11217.430000,0.000494,0.000000,8.123050
omap,0,0,1,1,64,262144,19,1,0,0.021980,724596.000000,0.000000,0.022127,797959.200000,12466.885000,0.000485,0.000000,9.515460
omap,0,0,1,1,64,524288,20,1,0,0.024792,807516.000000,0.000000,0.024512,887481.600000,13865.675000,0.548625,0.000000,12.960637
omap,0,0,1,1,64,4,3,1,0,0.000263,2860.800000,0.000000,0.000262,2880.000000,44.000000,0.000414,0.000000,0.110895
omap,0,0,1,1,64,1048576,21,1,0,0.027517,888384.000000,0.000000,0.027456,970816.800000,15167.770000,2.389633,0.000000,17.776056
omap,0,0,1,1,64,2097152,22,1,0,0.030379,968904.000000,0.000000,0.029982,1057375.200000,16520.225000,4.758760,0.000000,23.592649
omap,0,0,1,1,64,4194304,23,1,0,0.033478,1063831.200000,0.000000,0.032753,1158544.800000,18101.025000,7.775082,0.000000,30.799024
omap,0,0,1,1,64,8388608,24,1,0,0.036845,1152885.600000,0.000000,0.036389,1249202.400000,19517.555000,11.043362,0.000000,38.736648
omap,0,0,1,1,64,16777216,25,1,0,0.039499,1248799.200000,0.000000,0.040195,1349488.800000,21084.475000,14.665901,0.000000,47.273333
omap,0,0,1,1,64,8,4,1,0,0.000445,6624.000000,0.000000,0.000441,6609.600000,102.275000,0.000422,0.000000,0.191113
omap,0,0,1,1,64,16,5,1,0,0.000871,13579.200000,0.000000,0.000820,13641.600000,212.150000,0.000402,0.000000,0.344727
omap,0,0,1,1,64,32,6,1,0,0.001378,25555.200000,0.000000,0.001473,25492.800000,397.325000,0.000432,0.000000,0.577253
omap,0,0,1,1,64,64,7,1,0,0.002182,43622.400000,0.000000,0.002037,43737.600000,682.400000,0.000464,0.000000,0.861889
omap,0,0,1,1,64,128,8,1,0,0.002978,69345.600000,0.000000,0.002950,70358.400000,1098.350000,0.000406,0.000000,1.192758
omap,0,0,1,1,64,256,9,1,0,0.004237,103310.400000,0.000000,0.004277,104520.000000,1632.125000,0.000411,0.000000,1.711246
omap,0,0,1,1,64,512,10,1,0,0.005011,143323.200000,0.000000,0.005368,146496.000000,2288.000000,0.000396,0.000000,2.092855
