test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,0,64,8388608,1,1,0,0,0,0,0,0,0.911322,0.000000,0,427.516385
ofs,0,0,1,0,64,8388608,1,1,1,0.000009,0.000000,3.329139,672263616.000000,10504117.400000,0,0,1.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,2,0.000005,0.000000,3.236115,672262656.000000,10504101.600000,0,0,2.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,4,0.000008,0.000000,3.325678,672269232.000000,10504202.400000,0,0,4.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,8,0.000008,0.000000,3.182657,672270528.000000,10504218.800000,0,0,8.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,16,0.000012,0.000000,3.329417,672270864.000000,10504216.000000,0,0,16.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,32,0.000014,0.000000,3.248569,672277488.000000,10504303.400000,0,0,32.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,64,0.000016,0.000000,3.296758,672271008.000000,10504170.000000,0,0,64.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,128,0.000019,0.000000,3.400931,672277104.000000,10504201.400000,0,0,128.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,256,0.000028,0.000000,3.523940,672278352.000000,10504092.800000,0,0,256.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,512,0.000050,0.000000,3.472784,672281184.000000,10503881.000000,0,0,512.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,1024,0.000072,0.000000,3.348935,672284880.000000,10503426.800000,0,0,1024.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,2048,0.000136,0.000000,3.366438,672292896.000000,10502528.000000,0,0,2048.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,4096,0.000263,0.000000,3.150347,672298656.000000,10500570.000000,0,0,4096.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,8192,0.000521,0.000000,3.306347,672295536.000000,10496425.400000,0,0,8192.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,16384,0.001094,0.000000,3.348330,672293328.000000,10488198.800000,0,0,16384.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,32768,0.002320,0.000000,3.299108,672288192.000000,10471734.800000,0,0,32768.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,65536,0.004969,0.000000,3.279997,672301104.000000,10439168.600000,0,0,65536.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,131072,0.009958,0.000000,3.283211,672298800.000000,10373596.200000,0,0,131072.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,262144,0.019262,0.000000,3.198851,672295344.000000,10242470.400000,0,0,262144.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,524288,0.042107,0.000000,3.431629,672299232.000000,9980387.200000,0,0,524288.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,1048576,0.089240,0.000000,3.451919,672307488.000000,9456228.000000,0,0,1048576.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,2097152,0.187396,0.000000,3.603695,672302160.000000,8407569.000000,0,0,2097152.000000,427.516385
ofs,0,0,1,0,64,8388608,1,1,4194304,0.389314,0.000000,3.672916,672310704.000000,6310550.200000,0,0,4194304.000000,427.516385
ofs,0,0,1,0,64,8388608,12,1,0,0,0,0,0,0,525.272230,715824000.000000,0,3026.339731
ofs,0,0,1,0,64,8388608,12,1,1,0.033596,0.000000,1.045154,3762835.200000,58793.000000,0,0,1.000000,3026.339731
ofs,0,0,1,0,64,8388608,12,1,2,0.036616,0.000000,1.053584,3805353.600000,59456.400000,0,0,2.000000,3026.339731
