test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,0,64,2,2,1,0,0.001133,955.200000,0.000000,0.001025,960.000000,14.000000,0.000281,0.000000,1.082096
omap,0,0,1,0,64,1024,11,1,0,0.009198,194557.440000,0.000000,0.009055,198015.360000,3092.990000,0.000267,0.000000,9.151998
omap,0,0,1,0,64,2048,12,1,0,0.011268,250450.560000,0.000000,0.011051,255524.160000,3991.564000,0.000284,0.000000,11.185915
omap,0,0,1,0,64,4096,13,1,0,0.014048,309961.920000,0.000000,0.013728,320571.840000,5007.896000,0.000279,0.000000,13.926256
omap,0,0,1,0,64,8192,14,1,0,0.016131,378192.960000,0.000000,0.016039,397724.160000,6213.222000,0.000284,0.000000,16.134319
omap,0,0,1,0,64,16384,15,1,0,0.019070,443755.200000,0.000000,0.018853,475262.400000,7424.730000,0.000276,0.000000,19.046413
omap,0,0,1,0,64,32768,16,1,0,0.022168,509751.360000,0.000000,0.022189,553478.400000,8646.850000,0.000284,0.000000,22.315189
omap,0,0,1,0,64,65536,17,1,0,0.025634,584714.880000,0.000000,0.025878,639690.240000,9993.910000,0.000306,0.000000,26.017609
omap,0,0,1,0,64,131072,18,1,0,0.028863,652874.880000,0.000000,0.028656,718214.400000,11220.840000,0.000305,0.000000,29.273894
omap,0,0,1,0,64,262144,19,1,0,0.032049,725804.160000,0.000000,0.031249,796889.280000,12450.138000,0.000338,0.000000,33.164455
omap,0,0,1,0,64,524288,20,1,0,0.035047,808353.600000,0.000000,0.034347,886280.640000,13846.874000,0.918151,0.000000,44.293843
omap,0,0,1,0,64,4,3,1,0,0.001050,2863.680000,0.000000,0.001035,2878.080000,43.970000,0.000252,0.000000,1.045730
omap,0,0,1,0,64,1048576,21,1,0,0.039545,887426.880000,0.000000,0.037777,970554.240000,15163.668000,3.793525,0.000000,62.633418
omap,0,0,1,0,64,2097152,22,1,0,0.047211,969602.880000,0.000000,0.043683,1057010.880000,16514.528000,7.619972,0.000000,88.551740
omap,0,0,1,0,64,4194304,23,1,0,0.053468,1064613.120000,0.000000,0.048899,1159717.440000,18119.332000,12.284869,0.000000,117.613795
omap,0,0,1,0,64,8388608,24,1,0,0.059653,1155331.200000,0.000000,0.055070,1252427.520000,19567.930000,17.596938,0.000000,150.352639
omap,0,0,1,0,64,16777216,25,1,0,0.064880,1248146.880000,0.000000,0.062363,1350661.440000,21102.862000,23.407990,0.000000,185.667635
omap,0,0,1,0,64,8,4,1,0,0.001245,6596.160000,0.000000,0.001235,6608.640000,102.260000,0.000275,0.000000,1.243242
omap,0,0,1,0,64,16,5,1,0,0.001632,13548.480000,0.000000,0.001674,13693.440000,212.960000,0.000272,0.000000,1.667590
omap,0,0,1,0,64,32,6,1,0,0.002376,25428.480000,0.000000,0.002398,25743.360000,401.240000,0.000285,0.000000,2.403994
omap,0,0,1,0,64,64,7,1,0,0.003203,43570.560000,0.000000,0.003306,43931.520000,685.430000,0.000274,0.000000,3.272102
omap,0,0,1,0,64,128,8,1,0,0.004234,70218.240000,0.000000,0.004262,70331.520000,1097.930000,0.000279,0.000000,4.279666
omap,0,0,1,0,64,256,9,1,0,0.005466,102952.320000,0.000000,0.005414,104200.320000,1627.130000,0.000277,0.000000,5.459864
omap,0,0,1,0,64,512,10,1,0,0.007283,144148.800000,0.000000,0.007342,146200.320000,2283.380000,0.000286,0.000000,7.335436
