test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,1,1,0,0,0,0,0,0,285.256211,4026531360.000000,0,705.465577
ofs,0,0,0,1,64,8388608,1,1,1,0.000005,0.000000,2.612628,672258072.000000,10504031.000000,0,0,1.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,2,0.000003,0.000000,2.556324,672249912.000000,10503902.500000,0,0,2.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,4,0.000002,0.000000,2.589805,672278952.000000,10504354.000000,0,0,4.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,8,0.000002,0.000000,2.537832,672288552.000000,10504500.500000,0,0,8.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,16,0.000003,0.000000,2.666868,672280872.000000,10504372.500000,0,0,16.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,32,0.000005,0.000000,2.437132,672284592.000000,10504414.000000,0,0,32.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,64,0.000008,0.000000,2.457304,672275952.000000,10504247.500000,0,0,64.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,128,0.000007,0.000000,2.602127,672286152.000000,10504343.000000,0,0,128.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,256,0.000009,0.000000,2.623684,672286272.000000,10504216.500000,0,0,256.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,512,0.000017,0.000000,2.480284,672274512.000000,10503777.000000,0,0,512.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,1024,0.000031,0.000000,2.509514,672284232.000000,10503417.000000,0,0,1024.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,2048,0.000036,0.000000,2.488639,672294552.000000,10502554.000000,0,0,2048.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,4096,0.000068,0.000000,2.693285,672283152.000000,10500327.500000,0,0,4096.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,8192,0.000251,0.000000,2.770275,672276192.000000,10496123.000000,0,0,8192.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,16384,0.000735,0.000000,2.698166,672298872.000000,10488285.500000,0,0,16384.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,32768,0.001798,0.000000,2.775066,672302712.000000,10471961.500000,0,0,32768.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,65536,0.003270,0.000000,2.812176,672306432.000000,10439251.500000,0,0,65536.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,131072,0.006781,0.000000,2.707751,672309912.000000,10373770.000000,0,0,131072.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,262144,0.013180,0.000000,2.789273,672292992.000000,10242433.500000,0,0,262144.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,524288,0.032537,0.000000,2.793669,672304272.000000,9980466.000000,0,0,524288.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,1048576,0.062650,0.000000,2.991314,672314592.000000,9456339.000000,0,0,1048576.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,2097152,0.126907,0.000000,2.799619,672303072.000000,8407583.000000,0,0,2097152.000000,705.465577
ofs,0,0,0,1,64,8388608,1,1,4194304,0.248167,0.000000,2.887340,672293232.000000,6310277.500000,0,0,4194304.000000,705.465577
ofs,0,0,0,1,64,8388608,12,1,0,0,0,0,0,0,3016.228869,50007274320.000000,0,9202.213940
ofs,0,0,0,1,64,8388608,12,1,1,7.339510,2496.000000,248.419175,3746280.000000,58534.500000,0,0,1.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,2,6.254240,0.000000,230.358080,3801000.000000,59388.500000,0,0,2.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,4,7.509544,9408.000000,183.650966,3670608.000000,57349.000000,0,0,4.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,8,3.185868,0.000000,134.952963,3716880.000000,58068.000000,0,0,8.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,16,5.223092,37056.000000,18.604129,4032960.000000,62998.500000,0,0,16.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,32,1.747455,0.000000,12.523442,4098912.000000,64013.500000,0,0,32.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,64,2.657901,147648.000000,9.648531,6093864.000000,95152.000000,0,0,64.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,128,0.584431,0.000000,7.757104,5988096.000000,93435.500000,0,0,128.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,256,1.876596,590016.000000,14.045314,13683672.000000,213551.000000,0,0,256.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,512,0.276937,0.000000,9.924745,13146816.000000,204906.500000,0,0,512.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,1024,0.005021,2359488.000000,0.229009,40523808.000000,632160.000000,0,0,1024.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,2048,0.002937,0.000000,0.219481,42295704.000000,658822.000000,0,0,2048.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,4096,0.010988,9437376.000000,0.347524,125323248.000000,1954079.000000,0,0,4096.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,8192,0.002649,0.000000,0.357616,146555544.000000,2281738.000000,0,0,8192.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,16384,0.049479,37748928.000000,0.843872,427214880.000000,6658848.000000,0,0,16384.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,32768,0.003656,0.000000,1.011728,483834192.000000,7527141.000000,0,0,32768.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,65536,0.241472,150995136.000000,3.737827,1399140048.000000,21796027.000000,0,0,65536.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,131072,0.005856,0.000000,80.362843,1550135664.000000,24089797.500000,0,0,131072.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,262144,0.005721,0.000000,3.285526,672303672.000000,10242600.500000,0,0,262144.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,524288,0.010639,0.000000,2.459023,672306552.000000,9980501.500000,0,0,524288.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,1048576,0.023309,0.000000,2.374788,672308592.000000,9456245.000000,0,0,1048576.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,2097152,0.124362,0.000000,2.438054,672306672.000000,8407639.500000,0,0,2097152.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,1,4194304,0.241373,0.000000,3.031784,672324432.000000,6310765.000000,0,0,4194304.000000,9202.213940
ofs,0,0,0,1,64,8388608,12,2,0,0,0,0,0,0,3984.388452,50007274320.000000,0,13345.926558
ofs,0,0,0,1,64,8388608,12,2,1,13.673443,2496.000000,221.288397,3810096.000000,59531.500000,0,0,1.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,2,11.778168,0.000000,225.208206,3885648.000000,60711.000000,0,0,2.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,4,24.122039,0.000000,379.159320,6691776.000000,104554.500000,0,0,4.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,8,13.144956,9408.000000,186.004625,3745176.000000,58510.000000,0,0,8.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,16,14.354200,0.000000,200.102941,6406464.000000,100084.500000,0,0,16.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,32,8.722657,37056.000000,13.446793,4177680.000000,65243.500000,0,0,32.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,64,8.454028,0.000000,16.286929,7275696.000000,113618.500000,0,0,64.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,128,4.545200,147648.000000,7.187560,6209016.000000,96887.500000,0,0,128.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,256,3.176748,0.000000,11.477215,11435160.000000,178418.000000,0,0,256.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,512,1.151308,590016.000000,8.452973,14473152.000000,225630.500000,0,0,512.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,1024,0.384197,0.000000,18.826217,26762496.000000,417139.500000,0,0,1024.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,2048,0.004792,2359488.000000,0.224959,39967416.000000,622442.500000,0,0,2048.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,4096,0.005035,0.000000,0.387397,85302144.000000,1328749.500000,0,0,4096.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,8192,0.010856,9437376.000000,0.351799,134820144.000000,2098372.500000,0,0,8192.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,16384,0.004978,0.000000,2.426917,284953656.000000,4436016.500000,0,0,16384.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,32768,0.053412,37748928.000000,0.915911,493308744.000000,7675180.500000,0,0,32768.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,65536,0.007080,0.000000,1.746272,994834440.000000,15478752.000000,0,0,65536.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,131072,0.251793,150995136.000000,4.174181,1399188408.000000,21731246.500000,0,0,131072.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,262144,0.010869,0.000000,7.904322,3250176744.000000,50521867.000000,0,0,262144.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,524288,0.011963,0.000000,2.466474,672304152.000000,9980464.000000,0,0,524288.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,1048576,0.022611,0.000000,3.014777,672305592.000000,9456198.500000,0,0,1048576.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,2097152,0.083934,0.000000,2.970103,672304032.000000,8407598.000000,0,0,2097152.000000,13345.926558
ofs,0,0,0,1,64,8388608,12,2,4194304,0.244979,0.000000,3.033160,672321432.000000,6310718.000000,0,0,4194304.000000,13345.926558
ofs,0,0,0,1,64,8388608,2,1,0,0,0,0,0,0,354.666965,8859090000.000000,0,799.128210
ofs,0,0,0,1,64,8388608,2,1,1,0.006074,2359488.000000,0.257988,48154944.000000,752420.000000,0,0,1.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,2,0.002505,0.000000,0.249647,46388808.000000,724823.000000,0,0,2.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,4,0.002655,0.000000,0.262342,44019720.000000,687804.000000,0,0,4.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,8,0.002845,0.000000,0.264750,44065440.000000,688514.000000,0,0,8.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,16,0.002897,0.000000,0.261788,48210864.000000,753278.500000,0,0,16.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,32,0.002749,0.000000,0.255250,47020200.000000,734658.500000,0,0,32.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,64,0.002740,0.000000,0.253322,43516968.000000,679888.000000,0,0,64.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,128,0.003031,0.000000,0.260643,48229584.000000,753458.500000,0,0,128.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,256,0.002948,0.000000,0.263263,49410768.000000,771786.500000,0,0,256.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,512,0.003198,0.000000,0.268704,50615352.000000,790352.500000,0,0,512.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,1024,0.003067,0.000000,0.260249,47061480.000000,734311.500000,0,0,1024.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,2048,0.003132,0.000000,0.261667,48819696.000000,760759.000000,0,0,2048.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,4096,0.000094,0.000000,2.820593,672284472.000000,10500348.500000,0,0,4096.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,8192,0.000194,0.000000,2.778246,672299472.000000,10496486.500000,0,0,8192.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,16384,0.000371,0.000000,2.715611,672296472.000000,10488248.000000,0,0,16384.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,32768,0.000768,0.000000,2.763660,672292632.000000,10471804.000000,0,0,32768.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,65536,0.002412,0.000000,2.712867,672295032.000000,10439073.500000,0,0,65536.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,131072,0.007468,0.000000,2.821669,672305472.000000,10373700.500000,0,0,131072.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,262144,0.014828,0.000000,2.858971,672312792.000000,10242743.000000,0,0,262144.000000,799.128210
ofs,0,0,0,1,64,8388608,2,1,524288,0.032258,0.000000,2.786736,672307152.000000,9980511.000000,0,0,524288.000000,799.128210
