test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,0,64,8388608,1,1,0,0,0,0,0,0,475.249266,0.000000,0,3007.396443
ofs,0,0,0,0,64,8388608,1,1,1,0.000006,0.000000,32.568592,672258552.000000,10504038.500000,0,0,1.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,2,0.000001,0.000000,26.500291,672271272.000000,10504236.000000,0,0,2.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,4,0.000001,0.000000,35.000815,672272832.000000,10504258.500000,0,0,4.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,8,0.000001,0.000000,25.975492,672265392.000000,10504138.500000,0,0,8.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,16,0.000002,0.000000,37.125404,672259032.000000,10504031.000000,0,0,16.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,32,0.000003,0.000000,38.750843,672278592.000000,10504321.000000,0,0,32.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,64,0.000004,0.000000,39.325547,672279912.000000,10504309.000000,0,0,64.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,128,0.000004,0.000000,30.401924,672265992.000000,10504028.000000,0,0,128.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,256,0.000009,0.000000,42.174390,672289872.000000,10504273.000000,0,0,256.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,512,0.000018,0.000000,38.150530,672279312.000000,10503851.500000,0,0,512.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,1024,0.000026,0.000000,31.754237,672296592.000000,10503610.000000,0,0,1024.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,2048,0.000059,0.000000,31.822953,672277632.000000,10502290.000000,0,0,2048.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,4096,0.000135,0.000000,36.524615,672292632.000000,10500476.000000,0,0,4096.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,8192,0.000274,0.000000,48.725705,672281592.000000,10496207.500000,0,0,8192.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,16384,0.000754,0.000000,39.400657,672298512.000000,10488279.500000,0,0,16384.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,32768,0.001660,0.000000,29.150388,672296232.000000,10471860.000000,0,0,32768.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,65536,0.002968,0.000000,40.300898,672300672.000000,10439162.000000,0,0,65536.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,131072,0.006084,0.000000,37.526889,672289272.000000,10373447.500000,0,0,131072.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,262144,0.011829,0.000000,38.924814,672300312.000000,10242548.000000,0,0,262144.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,524288,0.029111,0.000000,45.101045,672296712.000000,9980347.500000,0,0,524288.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,1048576,0.058707,0.000000,37.298193,672306312.000000,9456209.500000,0,0,1048576.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,2097152,0.117473,0.000000,32.248893,672310152.000000,8407694.000000,0,0,2097152.000000,3007.396443
ofs,0,0,0,0,64,8388608,1,1,4194304,0.230606,0.000000,35.822444,672304752.000000,6310457.500000,0,0,4194304.000000,3007.396443
ofs,0,0,0,0,64,8388608,12,1,0,0,0,0,0,0,27441.643323,715824000.000000,0,59458.560112
ofs,0,0,0,0,64,8388608,12,1,1,0.197778,0.000000,107.726485,3752280.000000,58628.000000,0,0,1.000000,59458.560112
ofs,0,0,0,0,64,8388608,12,1,2,0.675670,0.000000,121.902669,3792840.000000,59261.000000,0,0,2.000000,59458.560112
ofs,0,0,0,0,64,8388608,12,1,4,0.450404,0.000000,98.826347,3712200.000000,57998.500000,0,0,4.000000,59458.560112
ofs,0,0,0,0,64,8388608,12,1,8,0.474045,0.000000,117.527858,3723432.000000,58170.000000,0,0,8.000000,59458.560112
ofs,0,0,0,0,64,8388608,12,1,16,0.250111,0.000000,103.326781,4050648.000000,63275.000000,0,0,16.000000,59458.560112
