test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,0,64,2,2,1,0,0.004519,955.200000,0.000000,0.005951,960.000000,14.000000,0.000444,0.000000,2.095879
omap,0,0,0,0,64,1024,11,1,0,0.016313,194779.200000,0.000000,0.015423,198547.200000,3101.300000,0.000441,0.000000,6.379827
omap,0,0,0,0,64,2048,12,1,0,0.020695,249804.000000,0.000000,0.019311,255381.600000,3989.335000,0.000415,0.000000,8.033597
omap,0,0,0,0,64,4096,13,1,0,0.028313,309304.800000,0.000000,0.023502,320596.800000,5008.280000,0.000401,0.000000,10.410371
omap,0,0,0,0,64,8192,14,1,0,0.034818,377980.800000,0.000000,0.029149,397682.400000,6212.590000,0.000433,0.000000,12.872383
omap,0,0,0,0,64,16384,15,1,0,0.044579,443894.400000,0.000000,0.035115,474907.200000,7419.155000,0.000432,0.000000,16.086947
omap,0,0,0,0,64,32768,16,1,0,0.059990,509695.200000,0.000000,0.045973,554080.800000,8656.250000,0.000459,0.000000,21.493285
omap,0,0,0,0,64,65536,17,1,0,0.074025,582700.800000,0.000000,0.054657,639907.200000,9997.290000,0.000406,0.000000,26.354140
omap,0,0,0,0,64,131072,18,1,0,0.085667,653217.600000,0.000000,0.072884,718017.600000,11217.795000,0.168656,0.000000,34.050444
omap,0,0,0,0,64,262144,19,1,0,0.103426,724641.600000,0.000000,0.085222,797493.600000,12459.605000,3.672269,0.000000,47.076561
omap,0,0,0,0,64,524288,20,1,0,0.129388,808382.400000,0.000000,0.107773,888285.600000,13878.245000,21.003501,0.000000,91.442079
omap,0,0,0,0,64,4,3,1,0,0.007737,2865.600000,0.000000,0.007691,2875.200000,43.925000,0.000410,0.000000,3.087718
omap,0,0,0,0,64,1048576,21,1,0,0.143998,888638.400000,0.000000,0.124807,970305.600000,15159.790000,61.453891,0.000000,178.671868
omap,0,0,0,0,64,2097152,22,1,0,0.163114,968517.600000,0.000000,0.208419,1058906.400000,16544.160000,122.213007,0.000000,320.735413
omap,0,0,0,0,64,4194304,23,1,0,0.178185,1065494.400000,0.000000,1.199857,1157755.200000,18088.700000,170.083915,0.000000,617.779273
