test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,0,64,8388608,2,16,0,0,0,0,0,0,1.296608,524160.000000,0,428.212431
ofs,0,0,1,0,64,8388608,2,16,1,0.013393,0.000000,1.114170,50252428.800000,785192.800000,0,0,1.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,2,0.014874,0.000000,1.037578,49311705.600000,770493.000000,0,0,2.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,4,0.014080,0.000000,1.108498,48380006.400000,755933.400000,0,0,4.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,8,0.014006,0.000000,1.093092,48141657.600000,752205.200000,0,0,8.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,16,0.012777,0.000000,1.064405,49325145.600000,770689.000000,0,0,16.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,32,0.014044,0.000000,1.093461,50510553.600000,789195.000000,0,0,32.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,64,0.012937,0.000000,1.055588,48858912.000000,763356.200000,0,0,64.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,128,0.013286,0.000000,1.062233,52633516.800000,822270.400000,0,0,128.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,256,0.013119,0.000000,1.073666,50531193.600000,789293.600000,0,0,256.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,512,0.014032,0.000000,1.098587,51228720.000000,799936.400000,0,0,512.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,1024,0.013504,0.000000,1.071825,51940262.400000,810542.200000,0,0,1024.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,2048,0.014001,0.000000,1.078536,50063904.000000,780200.400000,0,0,2048.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,4096,0.027918,0.000000,1.838648,100828454.400000,1571348.000000,0,0,4096.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,8192,0.052233,0.000000,3.506189,199287628.800000,3105676.600000,0,0,8192.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,16384,0.115328,0.000000,8.104308,403170220.800000,6283150.200000,0,0,16384.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,32768,0.226143,0.000000,18.357209,823301222.400000,12831313.200000,0,0,32768.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,65536,0.004984,0.000000,3.564877,672290112.000000,10438996.600000,0,0,65536.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,131072,0.009290,0.000000,3.457213,672311232.000000,10373790.600000,0,0,131072.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,262144,0.018156,0.000000,3.447686,672301440.000000,10242565.600000,0,0,262144.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,524288,0.039903,0.000000,3.444758,672291648.000000,9980268.600000,0,0,524288.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,1048576,0.092780,0.000000,3.520621,672309168.000000,9456254.200000,0,0,1048576.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,2097152,0.201983,0.000000,3.529439,672306048.000000,8407629.600000,0,0,2097152.000000,428.212431
ofs,0,0,1,0,64,8388608,2,16,4194304,0.402297,0.000000,3.799750,672306432.000000,6310483.400000,0,0,4194304.000000,428.212431
