test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,2,4,0,0,0,0,0,0,388.272125,8859090000.000000,0,853.080116
ofs,0,0,0,1,64,8388608,2,4,1,0.006371,2359488.000000,0.245634,46413888.000000,725216.000000,0,0,1.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,2,0.002941,0.000000,0.238451,45232944.000000,706762.000000,0,0,2.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,4,0.002483,0.000000,0.232929,47599032.000000,743730.500000,0,0,4.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,8,0.002510,0.000000,0.243643,49987560.000000,781047.000000,0,0,8.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,16,0.002466,0.000000,0.231029,45254064.000000,707078.000000,0,0,16.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,32,0.002974,0.000000,0.225030,45867336.000000,716644.500000,0,0,32.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,64,0.002893,0.000000,0.229631,46447728.000000,725681.500000,0,0,64.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,128,0.002904,0.000000,0.237538,48236064.000000,753560.000000,0,0,128.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,256,0.002919,0.000000,0.235730,48256224.000000,753747.500000,0,0,256.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,512,0.002916,0.000000,0.231963,50034000.000000,781269.000000,0,0,512.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,1024,0.003524,0.000000,0.232018,52378248.000000,817385.500000,0,0,1024.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,2048,0.003603,0.000000,0.234155,47674512.000000,742866.000000,0,0,2048.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,4096,0.005805,0.000000,0.395936,96518712.000000,1504008.500000,0,0,4096.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,8192,0.010446,0.000000,0.729292,194838864.000000,3036165.000000,0,0,8192.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,16384,0.000438,0.000000,2.606050,672284232.000000,10488057.000000,0,0,16384.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,32768,0.000937,0.000000,2.491568,672298392.000000,10471894.000000,0,0,32768.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,65536,0.001964,0.000000,2.629795,672304392.000000,10439220.000000,0,0,65536.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,131072,0.006395,0.000000,2.611194,672309432.000000,10373762.500000,0,0,131072.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,262144,0.012607,0.000000,2.683915,672316152.000000,10242795.500000,0,0,262144.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,524288,0.030553,0.000000,2.623196,672311832.000000,9980584.000000,0,0,524288.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,1048576,0.061032,0.000000,2.669390,672308472.000000,9456243.500000,0,0,1048576.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,2097152,0.123409,0.000000,2.648772,672302712.000000,8407577.500000,0,0,2097152.000000,853.080116
ofs,0,0,0,1,64,8388608,2,4,4194304,0.246122,0.000000,2.714956,672307992.000000,6310508.000000,0,0,4194304.000000,853.080116
