test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,0,64,8388608,8,1,0,0,0,0,0,0,9278.469926,306781440.000000,0,22745.357981
ofs,0,0,0,0,64,8388608,8,1,1,0.098118,0.000000,116.599703,3718440.000000,58099.000000,0,0,1.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,2,0.418942,0.000000,107.377052,3725400.000000,58207.000000,0,0,2.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,4,0.724741,0.000000,110.101008,3785160.000000,59138.500000,0,0,4.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,8,0.499914,0.000000,105.052085,4094304.000000,63965.500000,0,0,8.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,16,0.474917,0.000000,104.450952,4172472.000000,65178.500000,0,0,16.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,32,0.324895,0.000000,97.801404,4183464.000000,65334.500000,0,0,32.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,64,0.349667,0.000000,70.601561,9224304.000000,144065.500000,0,0,64.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,128,0.227364,0.000000,88.275492,8492664.000000,132569.500000,0,0,128.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,256,0.247648,0.000000,73.326166,8955960.000000,139680.500000,0,0,256.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,512,0.100580,0.000000,67.701361,42884136.000000,669552.500000,0,0,512.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,1024,0.249507,0.000000,67.100481,42306864.000000,660020.000000,0,0,1024.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,2048,0.325187,0.000000,33.250481,42324024.000000,659264.500000,0,0,2048.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,4096,0.099790,0.000000,56.276084,229079040.000000,3575263.500000,0,0,4096.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,8192,0.100046,0.000000,50.200173,252686040.000000,3940027.000000,0,0,8192.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,16384,0.074946,0.000000,43.350914,262131120.000000,4079414.500000,0,0,16384.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,32768,0.077143,0.000000,74.352151,1512391080.000000,23598342.000000,0,0,32768.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,65536,0.074655,0.000000,80.200307,1701159000.000000,26515073.000000,0,0,65536.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,131072,0.050345,0.000000,77.225576,1663404096.000000,25859616.500000,0,0,131072.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,262144,0.005460,0.000000,22.150185,672296232.000000,10242484.000000,0,0,262144.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,524288,0.010993,0.000000,33.477292,672297912.000000,9980366.500000,0,0,524288.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,1048576,0.040086,0.000000,21.073525,672305112.000000,9456191.000000,0,0,1048576.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,2097152,0.118803,0.000000,34.775194,672296712.000000,8407484.000000,0,0,2097152.000000,22745.357981
ofs,0,0,0,0,64,8388608,8,1,4194304,0.235519,0.000000,23.621969,672301032.000000,6310399.500000,0,0,4194304.000000,22745.357981
