test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,0,64,8388608,1,1,0,0,0,0,0,0,0.620318,0.000000,0,130.173133
ofs,0,0,1,0,64,8388608,1,1,1,0.000006,0.000000,2.455134,672257232.000000,10504018.000000,0,0,1.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,2,0.000001,0.000000,2.357955,672252552.000000,10503943.500000,0,0,2.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,4,0.000002,0.000000,2.422048,672274152.000000,10504279.000000,0,0,4.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,8,0.000002,0.000000,2.418651,672263832.000000,10504114.000000,0,0,8.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,16,0.000002,0.000000,2.436687,672268992.000000,10504186.500000,0,0,16.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,32,0.000003,0.000000,2.420506,672270432.000000,10504193.500000,0,0,32.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,64,0.000004,0.000000,2.296155,672285552.000000,10504397.500000,0,0,64.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,128,0.000005,0.000000,2.443485,672278232.000000,10504219.000000,0,0,128.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,256,0.000008,0.000000,2.468156,672284592.000000,10504190.000000,0,0,256.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,512,0.000018,0.000000,2.373984,672296112.000000,10504114.500000,0,0,512.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,1024,0.000025,0.000000,2.500663,672283752.000000,10503409.000000,0,0,1024.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,2048,0.000056,0.000000,2.731240,672288192.000000,10502454.500000,0,0,2048.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,4096,0.000131,0.000000,2.657328,672283632.000000,10500335.000000,0,0,4096.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,8192,0.000261,0.000000,2.652364,672281952.000000,10496213.500000,0,0,8192.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,16384,0.000623,0.000000,2.494685,672300432.000000,10488310.000000,0,0,16384.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,32768,0.001247,0.000000,2.485599,672287112.000000,10471717.500000,0,0,32768.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,65536,0.002551,0.000000,2.339440,672286272.000000,10438936.500000,0,0,65536.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,131072,0.004945,0.000000,2.452905,672293472.000000,10373513.500000,0,0,131072.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,262144,0.009161,0.000000,2.392450,672309072.000000,10242685.000000,0,0,262144.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,524288,0.019283,0.000000,2.424056,672292872.000000,9980287.500000,0,0,524288.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,1048576,0.039898,0.000000,2.521425,672298032.000000,9456080.500000,0,0,1048576.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,2097152,0.080808,0.000000,2.502381,672305952.000000,8407628.000000,0,0,2097152.000000,130.173133
ofs,0,0,1,0,64,8388608,1,1,4194304,0.197674,0.000000,2.553731,672301032.000000,6310399.000000,0,0,4194304.000000,130.173133
