test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,128,2,2,1,0,0.000497,2213.360000,0.000000,0.000491,2256.000000,16.000000,0.001588,0.000000,0.101484
omap,0,0,0,1,128,1024,11,1,0,0.010524,300832.640000,0.000000,0.010800,302334.080000,2360.690000,0.001529,0.000000,2.135296
omap,0,0,0,1,128,2048,12,1,0,0.012621,383183.680000,0.000000,0.012476,393288.960000,3071.320000,0.001712,0.000000,2.512870
omap,0,0,0,1,128,4096,13,1,0,0.014199,475124.800000,0.000000,0.016254,492781.440000,3848.580000,0.001605,0.000000,3.048292
omap,0,0,0,1,128,8192,14,1,0,0.018059,581469.440000,0.000000,0.016994,608561.600000,4753.020000,0.001726,0.000000,3.508531
omap,0,0,0,1,128,16384,15,1,0,0.018417,680998.720000,0.000000,0.018790,730818.560000,5708.130000,0.001753,0.000000,3.723871
omap,0,0,0,1,128,32768,16,1,0,0.021635,781558.400000,0.000000,0.021465,848733.120000,6629.420000,0.001779,0.000000,4.313276
omap,0,0,0,1,128,65536,17,1,0,0.024292,892863.680000,0.000000,0.024587,981654.720000,7667.800000,0.001608,0.000000,4.891069
omap,0,0,0,1,128,131072,18,1,0,0.025424,1002108.160000,0.000000,0.026841,1101372.480000,8603.140000,0.001586,0.000000,5.229521
omap,0,0,0,1,128,262144,19,1,0,0.026952,1114355.520000,0.000000,0.028598,1221414.080000,9540.960000,0.001686,0.000000,5.558172
omap,0,0,0,1,128,524288,20,1,0,0.030906,1240557.440000,0.000000,0.031542,1364021.440000,10655.040000,0.001687,0.000000,6.247912
omap,0,0,0,1,128,4,3,1,0,0.000726,5695.920000,0.000000,0.000780,5904.000000,45.000000,0.001523,0.000000,0.153531
omap,0,0,0,1,128,1048576,21,1,0,0.032715,1362748.160000,0.000000,0.033252,1490591.360000,11643.900000,0.001723,0.000000,6.599978
omap,0,0,0,1,128,2097152,22,1,0,0.038663,1489928.960000,0.000000,0.040496,1624881.920000,12693.030000,0.001706,0.000000,7.919137
omap,0,0,0,1,128,4194304,23,1,0,0.042256,1637548.480000,0.000000,0.043368,1774415.040000,13861.240000,0.001652,0.000000,8.565670
omap,0,0,0,1,128,8388608,24,1,0,0.044184,1774731.520000,0.000000,0.043060,1923742.080000,15027.860000,0.001524,0.000000,8.727435
omap,0,0,0,1,128,8,4,1,0,0.000946,12117.040000,0.000000,0.000967,13082.240000,101.040000,0.001899,0.000000,0.194463
omap,0,0,0,1,128,16,5,1,0,0.001555,23193.680000,0.000000,0.001859,26599.680000,206.430000,0.002085,0.000000,0.344892
omap,0,0,0,1,128,32,6,1,0,0.002235,39287.680000,0.000000,0.002470,40697.440000,316.700000,0.001795,0.000000,0.473556
omap,0,0,0,1,128,64,7,1,0,0.003454,67513.280000,0.000000,0.003632,66931.840000,521.650000,0.001843,0.000000,0.711686
omap,0,0,0,1,128,128,8,1,0,0.005023,107389.760000,0.000000,0.005133,108412.800000,845.730000,0.001706,0.000000,1.018705
omap,0,0,0,1,128,256,9,1,0,0.006960,158188.480000,0.000000,0.007133,160418.560000,1252.070000,0.001704,0.000000,1.412501
omap,0,0,0,1,128,512,10,1,0,0.008601,221786.240000,0.000000,0.008787,222993.280000,1740.880000,0.001667,0.000000,1.741866
omap,0,0,0,1,32,2,2,1,0,0.000546,1082.480000,0.000000,0.000529,1104.000000,33.000000,0.001543,0.000000,0.110412
omap,0,0,0,1,32,1024,11,1,0,0.010733,142246.720000,0.000000,0.011364,145361.920000,4541.560000,0.001589,0.000000,2.212806
omap,0,0,0,1,32,2048,12,1,0,0.011603,182269.120000,0.000000,0.011649,188172.160000,5879.380000,0.001661,0.000000,2.328355
omap,0,0,0,1,32,4096,13,1,0,0.014400,226913.280000,0.000000,0.013906,235741.440000,7365.920000,0.001712,0.000000,2.833833
