test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,32,8388608,3,2,0,0,0,0,0,0,18.669247,403209328.000000,0,77.336209
ofs,0,0,1,1,32,8388608,3,2,1,0.167376,2384928.000000,0.340650,4808560.000000,150266.000000,0,0,1.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,2,0.160218,2650608.000000,0.259532,5053696.000000,157926.000000,0,0,2.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,4,0.136191,2927888.000000,0.212067,4977104.000000,155530.000000,0,0,4.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,8,0.145350,2848864.000000,0.225433,4986704.000000,155826.000000,0,0,8.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,16,0.139579,2849584.000000,0.213424,5188384.000000,162121.000000,0,0,16.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,32,0.149896,2948960.000000,0.216451,5061360.000000,158135.000000,0,0,32.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,64,0.147616,3054352.000000,0.208162,5139376.000000,160541.000000,0,0,64.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,128,0.153321,2978480.000000,0.215579,5038768.000000,157333.000000,0,0,128.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,256,0.231178,5029408.000000,0.358310,9222320.000000,287941.000000,0,0,256.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,512,0.357244,106554880.000000,0.744267,296135008.000000,9253707.000000,0,0,512.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,1024,0.329373,117118256.000000,0.599733,254186784.000000,7942313.000000,0,0,1024.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,2048,0.349886,127601232.000000,0.653992,296133808.000000,9252133.000000,0,0,2048.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,4096,0.372243,159066000.000000,0.646835,317111280.000000,9905631.000000,0,0,4096.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,8192,0.398169,148578224.000000,0.644660,296129488.000000,9245854.000000,0,0,8192.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,16384,0.331903,106653040.000000,0.652219,296141488.000000,9238037.000000,0,0,16384.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,32768,0.376159,138140128.000000,0.670695,327621856.000000,10205415.000000,0,0,32768.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,65536,0.645440,275121056.000000,1.216964,622522064.000000,19388278.000000,0,0,65536.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,131072,2.471738,403797296.000000,3.784778,806519632.000000,25072666.000000,0,0,131072.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,262144,3.792329,806470672.000000,4.070701,806518672.000000,24941564.000000,0,0,262144.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,524288,3.687424,806455072.000000,3.785055,806519392.000000,24679443.000000,0,0,524288.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,1048576,3.745531,806462992.000000,3.923381,806521312.000000,24155215.000000,0,0,1048576.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,2097152,4.171728,806477392.000000,3.907640,806526592.000000,23106804.000000,0,0,2097152.000000,77.336209
ofs,0,0,1,1,32,8388608,3,2,4194304,3.936370,806474752.000000,3.850027,806535712.000000,21009937.000000,0,0,4194304.000000,77.336209
