test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,128,8388608,3,2,0,0,0,0,0,0,182.586323,22274878080.000000,0,336.840503
ofs,0,1,1,1,128,8388608,3,2,1,0.096830,4140720.000000,0.217558,8716000.000000,68092.000000,0,0,1.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,2,0.127366,4672640.000000,0.208288,9138160.000000,71389.000000,0,0,2.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,4,0.149496,4636000.000000,0.214357,9158320.000000,71545.000000,0,0,4.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,8,0.144995,5100880.000000,0.209370,9736640.000000,76059.000000,0,0,8.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,16,0.150550,4586400.000000,0.208282,9199840.000000,71857.000000,0,0,16.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,32,0.152883,5046960.000000,0.206076,9920880.000000,77474.000000,0,0,32.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,64,0.153007,4928960.000000,0.205019,9504240.000000,74187.000000,0,0,64.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,128,0.149044,5118000.000000,0.209408,9351440.000000,72930.000000,0,0,128.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,256,0.230582,9105120.000000,0.356554,17740160.000000,138339.000000,0,0,256.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,512,1.257853,358248400.000000,2.959498,1000785280.000000,7818123.000000,0,0,512.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,1024,1.197720,358266640.000000,2.762191,1072088160.000000,8374664.000000,0,0,1024.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,2048,1.282949,429568320.000000,2.543891,965106720.000000,7537848.000000,0,0,2048.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,4096,1.724783,572206960.000000,2.728773,929474000.000000,7257419.000000,0,0,4096.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,8192,1.301621,393953840.000000,2.754906,1036431680.000000,8088930.000000,0,0,8192.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,16384,1.342767,429615120.000000,2.969452,965148240.000000,7523836.000000,0,0,16384.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,32768,1.232530,393986720.000000,3.012594,1072105680.000000,8343057.000000,0,0,32768.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,65536,2.915844,858099840.000000,6.409066,2214283520.000000,17233554.000000,0,0,65536.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,131072,6.761186,1209103904.000000,9.930946,2417131168.000000,18752765.000000,0,0,131072.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,262144,8.992767,2417074288.000000,8.878716,2417116528.000000,18621578.000000,0,0,262144.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,524288,9.319949,2417107408.000000,9.335055,2417131888.000000,18359554.000000,0,0,524288.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,1048576,9.329086,2417105008.000000,8.972540,2417143408.000000,17835356.000000,0,0,1048576.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,2097152,10.328327,2417089168.000000,10.156008,2417142448.000000,16786773.000000,0,0,2097152.000000,336.840503
ofs,0,1,1,1,128,8388608,3,2,4194304,9.217693,2417107888.000000,9.742106,2417137888.000000,14689585.000000,0,0,4194304.000000,336.840503
