test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,128,2048,3,2,0,0,0,0,0,0.061000,3320400.000000,0,0.670403
ofs-update,0,0,0,1,128,2048,3,2,16,0.126881,1476048.000000,0.118693,825440.000000,0,0,16.000000,0.670403
ofs-update,0,0,0,1,128,2048,3,2,128,0.052195,845488.000000,0.046805,535664.000000,0,0,128.000000,0.670403
ofs-update,0,0,0,1,128,2048,3,2,1024,0.053360,853888.000000,0.054721,852448.000000,0,0,1024.000000,0.670403
ofs-update,0,0,0,1,128,16384,3,2,0,0,0,0,0,0.398719,26146896.000000,0,2.148263
ofs-update,0,0,0,1,128,16384,3,2,16,0.332162,2663280.000000,0.122819,943120.000000,0,0,16.000000,2.148263
ofs-update,0,0,0,1,128,16384,3,2,128,0.109090,5190256.000000,0.110608,2820608.000000,0,0,128.000000,2.148263
ofs-update,0,0,0,1,128,16384,3,2,1024,0.109499,5186656.000000,0.110222,5172496.000000,0,0,1024.000000,2.148263
ofs-update,0,0,0,1,128,16384,3,2,4096,0.117142,5204656.000000,0.108853,5178976.000000,0,0,4096.000000,2.148263
ofs-update,0,0,0,1,128,131072,3,2,0,0,0,0,0,3.337323,347793024.000000,0,12.099145
ofs-update,0,0,0,1,128,131072,3,2,16,0.361905,3642336.000000,0.199294,1778688.000000,0,0,16.000000,12.099145
ofs-update,0,0,0,1,128,131072,3,2,128,0.392504,55056480.000000,0.280587,27791760.000000,0,0,128.000000,12.099145
ofs-update,0,0,0,1,128,131072,3,2,1024,0.384276,55065600.000000,0.262701,27876240.000000,0,0,1024.000000,12.099145
ofs-update,0,0,0,1,128,131072,3,2,4096,0.576334,73939760.000000,0.392473,55029600.000000,0,0,4096.000000,12.099145
ofs-update,0,0,0,1,128,1048576,3,2,0,0,0,0,0,26.121694,2783695488.000000,0,49.332928
ofs-update,0,0,0,1,128,1048576,3,2,16,0.541806,6812608.000000,0.283817,3339344.000000,0,0,16.000000,49.332928
ofs-update,0,0,0,1,128,1048576,3,2,128,1.008543,131965776.000000,0.575103,6831568.000000,0,0,128.000000,49.332928
ofs-update,0,0,0,1,128,1048576,3,2,1024,1.210464,251897296.000000,0.648963,126418208.000000,0,0,1024.000000,49.332928
ofs-update,0,0,0,1,128,1048576,3,2,4096,1.198202,251915536.000000,0.724974,126512768.000000,0,0,4096.000000,49.332928
ofs-update,0,0,0,1,128,8388608,3,2,0,0,0,0,0,301.666729,22274878080.000000,0,333.099916
ofs-update,0,0,0,1,128,8388608,3,2,16,0.732081,12900160.000000,0.390140,6423200.000000,0,0,16.000000,333.099916
ofs-update,0,0,0,1,128,8388608,3,2,128,1.121272,18876480.000000,0.482432,7205360.000000,0,0,128.000000,333.099916
ofs-update,0,0,0,1,128,8388608,3,2,1024,3.820223,1144133600.000000,2.209829,572704000.000000,0,0,1024.000000,333.099916
ofs-update,0,0,0,1,128,8388608,3,2,4096,3.695743,1144165760.000000,1.962756,572777680.000000,0,0,4096.000000,333.099916
ofs-update,0,0,0,1,128,32,3,2,0,0,0,0,0,0.005108,14880.000000,0,0.062620
ofs-update,0,0,0,1,128,32,3,2,16,0.009318,37120.000000,0.009503,23840.000000,0,0,16.000000,0.062620
ofs-update,0,0,0,1,128,256,3,2,0,0,0,0,0,0.019164,425808.000000,0,0.208759
ofs-update,0,0,0,1,128,256,3,2,16,0.024510,180592.000000,0.019047,115136.000000,0,0,16.000000,0.208759
ofs-update,0,0,0,1,128,256,3,2,128,0.023817,176032.000000,0.026522,180592.000000,0,0,128.000000,0.208759
ofs-update,0,0,0,1,32,2048,3,2,0,0,0,0,0,0.064463,1753680.000000,0,0.693690
ofs-update,0,0,0,1,32,2048,3,2,16,0.128690,887424.000000,0.116410,614192.000000,0,0,16.000000,0.693690
ofs-update,0,0,0,1,32,2048,3,2,128,0.049782,442192.000000,0.044836,340736.000000,0,0,128.000000,0.693690
ofs-update,0,0,0,1,32,2048,3,2,1024,0.054667,458752.000000,0.049109,452512.000000,0,0,1024.000000,0.693690
ofs-update,0,0,0,1,32,16384,3,2,0,0,0,0,0,0.336090,13576272.000000,0,1.727268
ofs-update,0,0,0,1,32,16384,3,2,16,0.320749,1930800.000000,0.116773,691360.000000,0,0,16.000000,1.727268
ofs-update,0,0,0,1,32,16384,3,2,128,0.084108,2032768.000000,0.092367,1234544.000000,0,0,128.000000,1.727268
ofs-update,0,0,0,1,32,16384,3,2,1024,0.091810,2053408.000000,0.098386,2046688.000000,0,0,1024.000000,1.727268
ofs-update,0,0,0,1,32,16384,3,2,4096,0.089868,2036368.000000,0.088568,2021968.000000,0,0,4096.000000,1.727268
ofs-update,0,0,0,1,32,131072,3,2,0,0,0,0,0,2.590264,106746960.000000,0,6.224877
ofs-update,0,0,0,1,32,131072,3,2,16,0.352550,2385888.000000,0.203375,1197744.000000,0,0,16.000000,6.224877
ofs-update,0,0,0,1,32,131072,3,2,128,0.202893,13329136.000000,0.164819,6966368.000000,0,0,128.000000,6.224877
ofs-update,0,0,0,1,32,131072,3,2,1024,0.203726,13345696.000000,0.204337,13303216.000000,0,0,1024.000000,6.224877
ofs-update,0,0,0,1,32,131072,3,2,4096,0.201400,13347616.000000,0.211079,13334656.000000,0,0,4096.000000,6.224877
ofs-update,0,0,0,1,32,1048576,3,2,0,0,0,0,0,21.795188,1179423360.000000,0,41.705968
ofs-update,0,0,0,1,32,1048576,3,2,16,0.502732,4076896.000000,0.271682,1972448.000000,0,0,16.000000,41.705968
ofs-update,0,0,0,1,32,1048576,3,2,128,0.669999,41165040.000000,0.541188,4043296.000000,0,0,128.000000,41.705968
ofs-update,0,0,0,1,32,1048576,3,2,1024,0.562799,75763648.000000,0.431495,38361344.000000,0,0,1024.000000,41.705968
ofs-update,0,0,0,1,32,1048576,3,2,4096,0.608800,75747568.000000,0.365030,38398784.000000,0,0,4096.000000,41.705968
ofs-update,0,0,0,1,32,8388608,3,2,0,0,0,0,0,176.525108,9415240320.000000,0,201.174261
ofs-update,0,0,0,1,32,8388608,3,2,16,0.699557,6621904.000000,0.427307,3237392.000000,0,0,16.000000,201.174261
ofs-update,0,0,0,1,32,8388608,3,2,128,1.370426,9410736.000000,0.489383,4068512.000000,0,0,128.000000,201.174261
ofs-update,0,0,0,1,32,8388608,3,2,1024,1.424782,338779712.000000,0.912058,170090896.000000,0,0,1024.000000,201.174261
ofs-update,0,0,0,1,32,8388608,3,2,4096,1.454485,338822672.000000,0.852495,170118496.000000,0,0,4096.000000,201.174261
ofs-update,0,0,0,1,32,32,3,2,0,0,0,0,0,0.006130,14880.000000,0,0.040575
ofs-update,0,0,0,1,32,32,3,2,16,0.009272,29536.000000,0.010443,21248.000000,0,0,16.000000,0.040575
ofs-update,0,0,0,1,32,256,3,2,0,0,0,0,0,0.009676,122400.000000,0,0.198571
ofs-update,0,0,0,1,32,256,3,2,16,0.024239,123520.000000,0.024060,92000.000000,0,0,16.000000,0.198571
ofs-update,0,0,0,1,32,256,3,2,128,0.025362,133600.000000,0.024814,124000.000000,0,0,128.000000,0.198571
ofs-update,0,0,0,1,4096,2048,3,2,0,0,0,0,0,0.285620,68078160.000000,0,2.558200
ofs-update,0,0,0,1,4096,2048,3,2,16,0.231533,25816800.000000,0.146434,8942064.000000,0,0,16.000000,2.558200
ofs-update,0,0,0,1,4096,2048,3,2,128,0.141404,17091696.000000,0.122775,8669568.000000,0,0,128.000000,2.558200
ofs-update,0,0,0,1,4096,2048,3,2,1024,0.144069,17093376.000000,0.153065,17092176.000000,0,0,1024.000000,2.558200
ofs-update,0,0,0,1,4096,16384,3,2,0,0,0,0,0,1.930737,545732688.000000,0,15.547464
ofs-update,0,0,0,1,4096,16384,3,2,16,0.430935,33144240.000000,0.154428,11101680.000000,0,0,16.000000,15.547464
ofs-update,0,0,0,1,4096,16384,3,2,128,0.953891,135227120.000000,0.730344,67821520.000000,0,0,128.000000,15.547464
ofs-update,0,0,0,1,4096,16384,3,2,1024,0.998846,135214880.000000,1.056175,135206240.000000,0,0,1024.000000,15.547464
ofs-update,0,0,0,1,4096,16384,3,2,4096,1.015997,135227120.000000,1.092359,135213200.000000,0,0,4096.000000,15.547464
ofs-update,0,0,0,1,4096,131072,3,2,0,0,0,0,0,34.513637,8603264640.000000,0,88.191532
ofs-update,0,0,0,1,4096,131072,3,2,16,0.494127,52399440.000000,0.346461,26160000.000000,0,0,16.000000,88.191532
ofs-update,0,0,0,1,4096,131072,3,2,128,6.546384,1615351488.000000,3.556750,807941664.000000,0,0,128.000000,88.191532
