test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,128,8388608,2,1,0,0,0,0,0,0,198.452281,13153008720.000000,0,638.208750
ofs,0,0,0,1,128,8388608,2,1,1,0.511739,55193280.000000,0.938047,110549280.000000,863665.000000,0,0,1.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,2,0.977798,55842240.000000,0.878017,110551440.000000,863681.000000,0,0,2.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,4,0.626444,56020320.000000,0.885585,110599920.000000,864057.000000,0,0,4.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,8,0.559194,56016000.000000,0.905025,110610480.000000,864136.000000,0,0,8.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,16,0.595706,56061120.000000,3.405744,110588640.000000,863957.000000,0,0,16.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,32,0.573661,56076720.000000,0.902016,110598480.000000,864018.000000,0,0,32.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,64,0.557198,56097600.000000,0.873233,110576640.000000,863816.000000,0,0,64.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,128,0.577736,56109360.000000,2.490351,110589600.000000,863853.000000,0,0,128.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,256,0.596046,56136480.000000,0.856851,110557680.000000,863475.000000,0,0,256.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,512,0.571836,56094000.000000,0.831702,110589360.000000,863467.000000,0,0,512.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,1024,0.573351,56144880.000000,0.828092,110604720.000000,863075.000000,0,0,1024.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,2048,0.556327,56144160.000000,0.854438,110599440.000000,862010.000000,0,0,2048.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,4096,13.999384,1209532544.000000,18.618173,2417486128.000000,18882514.000000,0,0,4096.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,8192,19.341945,2417482528.000000,17.280919,2417496208.000000,18878497.000000,0,0,8192.000000,638.208750
ofs,0,0,0,1,128,8388608,2,1,16384,18.644126,2417478928.000000,17.335663,2417503408.000000,18870361.000000,0,0,16384.000000,638.208750
