test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,128,8388608,2,1,0,0,0,0,0,0,171.825628,13153008720.000000,0,599.747001
ofs,0,1,0,1,128,8388608,2,1,1,0.478863,55174080.000000,0.926378,110540640.000000,863597.000000,0,0,1.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,2,0.576692,55865040.000000,0.886781,110569200.000000,863819.000000,0,0,2.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,4,0.588645,56011200.000000,0.844836,110556000.000000,863714.000000,0,0,4.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,8,0.567577,56029440.000000,0.850452,110609040.000000,864125.000000,0,0,8.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,16,0.534289,56069760.000000,3.419191,110586000.000000,863937.000000,0,0,16.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,32,0.570190,56109840.000000,0.854564,110597760.000000,864013.000000,0,0,32.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,64,0.547294,56128560.000000,0.863799,110581920.000000,863857.000000,0,0,64.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,128,0.557213,56086080.000000,3.391360,110565120.000000,863662.000000,0,0,128.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,256,0.551407,56104800.000000,0.837875,110602080.000000,863822.000000,0,0,256.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,512,0.545093,56147760.000000,0.850701,110552640.000000,863180.000000,0,0,512.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,1024,0.543870,56128080.000000,3.183939,110552160.000000,862664.000000,0,0,1024.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,2048,0.559117,56139840.000000,0.909066,110567280.000000,861758.000000,0,0,2048.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,4096,12.045086,1209529424.000000,17.706732,2417508448.000000,18882688.000000,0,0,4096.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,8192,17.086657,2417479648.000000,16.755277,2417506528.000000,18878577.000000,0,0,8192.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,16384,16.834606,2417470768.000000,16.695191,2417500768.000000,18870340.000000,0,0,16384.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,32768,18.137325,2417499328.000000,18.082985,2417488288.000000,18853859.000000,0,0,32768.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,65536,18.190696,2417482048.000000,17.616345,2417497888.000000,18821166.000000,0,0,65536.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,131072,19.498280,2417504848.000000,17.508885,2417500048.000000,18755647.000000,0,0,131072.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,262144,21.218130,2417482288.000000,17.950708,2417507008.000000,18624629.000000,0,0,262144.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,524288,19.346397,2417485168.000000,17.208442,2417495008.000000,18362391.000000,0,0,524288.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,1048576,20.907784,2417503168.000000,17.743598,2417490928.000000,17838071.000000,0,0,1048576.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,2097152,19.770125,2417483728.000000,17.903619,2417507968.000000,16789629.000000,0,0,2097152.000000,599.747001
ofs,0,1,0,1,128,8388608,2,1,4194304,19.737918,2417485168.000000,18.275377,2417505568.000000,14692458.000000,0,0,4194304.000000,599.747001
