test,bs,n,ram_st,map_st,time
ofs,10,1,0,0,0.00108825
ofs,10,1,1,1,0.000638292
ofs,10,10,0,0,0.0555399
ofs,10,10,1,1,0.0580215
ofs,10,11,0,0,0.0904452
ofs,10,11,1,1,0.0879605
ofs,10,12,0,0,0.150567
ofs,10,12,1,1,0.175709
ofs,10,13,0,0,0.31927
ofs,10,13,1,1,0.331451
ofs,10,14,0,0,0.639418
ofs,10,14,1,1,0.641505
ofs,10,15,0,0,1.28798
ofs,10,15,1,1,1.7435
ofs,10,16,0,0,2.54416
ofs,10,16,1,1,2.92561
ofs,10,17,0,0,5.28926
ofs,10,17,1,1,5.34441
ofs,10,18,0,0,11.145
ofs,10,18,1,1,11.623
ofs,10,19,0,0,30.6302
ofs,10,19,1,1,32.6336
ofs,10,2,0,0,0.000758291
ofs,10,2,1,1,0.00123583
ofs,10,20,0,0,75.0672
ofs,10,20,1,1,76.5081
ofs,10,22,0,0,0.0290756
ofs,10,22,1,1,0.0855094
ofs,10,23,0,0,0.0256396
ofs,10,23,1,1,0.10411
ofs,10,3,0,0,0.00120758
ofs,10,3,1,1,0.000938792
ofs,10,4,0,0,0.00214013
ofs,10,4,1,1,0.00177779
ofs,10,5,0,0,0.00356642
ofs,10,5,1,1,0.00285271
ofs,10,6,0,0,0.00652858
ofs,10,6,1,1,0.00483929
ofs,10,7,0,0,0.00879883
ofs,10,7,1,1,0.00922458
ofs,10,8,0,0,0.0133992
ofs,10,8,1,1,0.0173236
ofs,10,9,0,0,0.0338957
ofs,10,9,1,1,0.0350906
ofs,13,1,0,0,0.00135871
ofs,13,1,1,1,0.00234492
ofs,13,10,0,0,0.335245
ofs,13,10,1,1,0.334632
ofs,13,11,0,0,0.653033
ofs,13,11,1,1,0.6689
ofs,13,12,0,0,1.31545
ofs,13,12,1,1,1.32301
ofs,13,13,0,0,2.56487
ofs,13,13,1,1,3.50298
ofs,13,14,0,0,5.39511
ofs,13,14,1,1,5.45753
ofs,13,15,0,0,12.3391
ofs,13,15,1,1,11.6767
ofs,13,16,0,0,27.7773
ofs,13,16,1,1,31.9147
ofs,13,17,0,0,79.618
ofs,13,17,1,1,71.4427
ofs,13,19,0,0,0.0239663
ofs,13,19,1,1,0.0722172
ofs,13,2,0,0,0.00286108
ofs,13,2,1,1,0.00482125
ofs,13,20,0,0,0.027035
ofs,13,20,1,1,0.0873063
ofs,13,3,0,0,0.00560667
ofs,13,3,1,1,0.00606621
ofs,13,4,0,0,0.0103452
ofs,13,4,1,1,0.0130737
ofs,13,5,0,0,0.0129777
ofs,13,5,1,1,0.0192537
ofs,13,6,0,0,0.0300227
ofs,13,6,1,1,0.0330898
ofs,13,7,0,0,0.0559565
ofs,13,7,1,1,0.0518369
ofs,13,8,0,0,0.0892293
ofs,13,8,1,1,0.0893097
ofs,13,9,0,0,0.161382
ofs,13,9,1,1,0.169887
ofs,5,1,0,0,0.000415083
ofs,5,1,1,1,0.000560834
ofs,5,10,0,0,0.00772242
ofs,5,10,1,1,0.0102957
ofs,5,11,0,0,0.0104492
ofs,5,11,1,1,0.0124174
ofs,5,12,0,0,0.0147402
ofs,5,12,1,1,0.0162982
ofs,5,13,0,0,0.0278369
