test,bs,n,ram_st,map_st,time
por,4,2,1,1,0.00741142
por,4,6,1,1,0.508795
por,4,10,1,1,15.3837
por,4,14,1,1,533.665
por,4,18,1,1,9522.73
por,4,22,1,1,280832
por,12,2,1,1,0.0105675
por,12,6,1,1,0.452659
por,12,10,1,1,16.6383
por,12,14,1,1,548.205
por,12,18,1,1,11800.7
por,12,22,1,1,276294
ofs,4,2,1,1,0.00185119
ofs,4,6,1,1,0.00529796
ofs,4,10,1,1,0.013734
ofs,4,14,1,1,0.0489731
ofs,4,18,1,1,0.336203
ofs,4,22,1,1,5.82797
ofs,12,2,1,1,0.00345649
ofs,12,6,1,1,0.029208
ofs,12,10,1,1,0.336387
ofs,12,14,1,1,5.74313
ofs,12,18,1,1,90.2928
