test,bs,n,ram_st,map_st,time
por,4,2,1,1,2.27913
por,4,6,1,1,23.1436
por,4,10,1,1,998.756
por,4,14,1,1,69129
por,4,18,1,1,2.80287e+06
por,4,22,1,1,7.98373e+07
por,12,2,1,1,0.496611
por,12,6,1,1,25.5278
por,12,10,1,1,1139.96
por,12,14,1,1,71629.8
por,12,18,1,1,2.59913e+06
por,12,22,1,1,8.06961e+07
ofs,4,2,1,1,0.138702
ofs,4,6,1,1,0.142948
ofs,4,10,1,1,1.03482
ofs,4,14,1,1,4.06606
ofs,4,18,1,1,11.4883
ofs,4,22,1,1,33.1448
ofs,12,2,1,1,0.116199
ofs,12,6,1,1,0.228293
ofs,12,10,1,1,2.55325
ofs,12,14,1,1,17.7648
ofs,12,18,1,1,173.022
