test,bs,n,ram_st,map_st,time
por,4,2,1,1,0.00902436
por,4,6,1,1,0.422565
por,4,10,1,1,15.4123
por,4,14,1,1,494.155
por,4,18,1,1,11114.4
por,4,22,1,1,435164
por,12,2,1,1,0.00826105
por,12,6,1,1,0.525577
por,12,10,1,1,20.2384
por,12,14,1,1,411.341
por,12,18,1,1,12028.5
por,12,22,1,1,252065
ofs,4,2,1,1,0.00178208
ofs,4,6,1,1,0.00595607
ofs,4,10,1,1,0.0135927
ofs,4,14,1,1,0.0496355
ofs,4,18,1,1,0.33058
ofs,4,22,1,1,5.87907
ofs,12,2,1,1,0.00347461
ofs,12,6,1,1,0.0271308
ofs,12,10,1,1,0.325555
ofs,12,14,1,1,5.82452
ofs,12,18,1,1,82.2088
