test,bs,n,ram_st,map_st,time
por,4,2,1,1,0.0325268
por,4,6,1,1,2.30798
por,4,10,1,1,122.175
por,4,14,1,1,5663.66
por,4,18,1,1,188246
por,4,22,1,1,5.3035e+06
por,12,2,1,1,0.035007
por,12,6,1,1,2.31128
por,12,10,1,1,125.141
por,12,14,1,1,5633.13
por,12,18,1,1,192813
por,12,22,1,1,5.20385e+06
ofs,4,2,1,1,0.00668765
ofs,4,6,1,1,0.0325055
ofs,4,10,1,1,0.105145
ofs,4,14,1,1,0.375563
ofs,4,18,1,1,1.16864
ofs,4,22,1,1,9.32254
ofs,12,2,1,1,0.00910557
ofs,12,6,1,1,0.0636904
ofs,12,10,1,1,0.586839
ofs,12,14,1,1,8.16376
ofs,12,18,1,1,113.901
