test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,0,1,32,67108864,1,0.0968471,0,0.38739
boram,0,0,1,32,67108864,2,0.128547,0,0.51419
boram,0,0,1,32,67108864,4,0.143385,0,0.573541
boram,0,0,1,32,67108864,8,0.151954,0,0.607817
boram,0,0,1,32,67108864,16,0.151112,0,0.604449
boram,0,0,1,32,67108864,32,0.150826,0,0.603303
boram,0,0,1,32,67108864,64,0.149728,0,0.598911
boram,0,0,1,32,67108864,128,0.150931,0,0.603725
boram,0,0,1,32,67108864,256,0.14972,0,0.598879
boram,0,0,1,32,67108864,512,0.154935,0,0.619739
boram,0,0,1,32,67108864,1024,0.158623,0,0.634491
boram,0,0,1,32,67108864,2048,0.168869,0,0.675476
boram,0,0,1,32,67108864,4096,0.182652,0,0.73061
boram,0,0,1,32,67108864,8192,0.214937,0,0.859747
boram,0,0,1,32,67108864,16384,0.26779,0,1.07116
boram,0,0,1,32,67108864,32768,0.379253,0,1.51702
boram,0,0,1,32,67108864,65536,0.543738,0,2.17495
boram,0,0,1,32,67108864,131072,0.789062,0,3.15625
boram,0,0,1,32,67108864,262144,1.79149,0,7.16594
boram,0,0,1,32,67108864,524288,3.24286,0,12.9714
boram,0,0,1,32,67108864,1048576,5.7229,0,22.8916
boram,0,0,1,32,67108864,2097152,28.3469,0,113.387
boram,0,0,1,32,67108864,4194304,18.0944,0,72.3778
boram,0,0,1,32,67108864,8388608,42.6211,0,170.484
boram,0,0,1,32,67108864,16777216,74.1246,0,296.498
boram,0,0,1,32,67108864,33554432,68.7496,0,274.999
poram,0,0,1,32,67108864,1,0.102874,0,0.411496
poram,0,0,1,32,67108864,2,0.272295,0,1.08918
poram,0,0,1,32,67108864,4,0.599245,0,2.39698
poram,0,0,1,32,67108864,8,1.28543,0,5.14172
poram,0,0,1,32,67108864,16,2.31474,0,9.25898
poram,0,0,1,32,67108864,32,4.53447,0,18.1379
poram,0,0,1,32,67108864,64,8.37752,0,33.5101
poram,0,0,1,32,67108864,128,16.0874,0,64.3498
poram,0,0,1,32,67108864,256,31.3974,0,125.59
poram,0,0,1,32,67108864,512,61.8288,0,247.315
poram,0,0,1,32,67108864,1024,120.03,0,480.121
poram,0,0,1,32,67108864,2048,238.429,0,953.715
poram,0,0,1,32,67108864,4096,474.89,0,1899.56
poram,0,0,1,32,67108864,8192,951.228,0,3804.91
poram,0,0,1,32,67108864,16384,1876.96,0,7507.86
