test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,0,0,32,67108864,1,27.9209,0,111.684
boram,0,0,0,32,67108864,2,24.8059,0,99.2234
boram,0,0,0,32,67108864,4,23.938,0,95.7522
boram,0,0,0,32,67108864,8,23.7556,0,95.0223
boram,0,0,0,32,67108864,16,23.3924,0,93.5695
boram,0,0,0,32,67108864,32,23.1527,0,92.611
boram,0,0,0,32,67108864,64,23.1409,0,92.5635
boram,0,0,0,32,67108864,128,23.1982,0,92.7928
boram,0,0,0,32,67108864,256,23.0897,0,92.3589
boram,0,0,0,32,67108864,512,22.8949,0,91.5795
boram,0,0,0,32,67108864,1024,22.8033,0,91.2132
boram,0,0,0,32,67108864,2048,22.5434,0,90.1737
boram,0,0,0,32,67108864,4096,22.2648,0,89.059
boram,0,0,0,32,67108864,8192,22.7495,0,90.998
boram,0,0,0,32,67108864,16384,23.01,0,92.0402
boram,0,0,0,32,67108864,32768,23.6691,0,94.6763
boram,0,0,0,32,67108864,65536,24.0223,0,96.0893
boram,0,0,0,32,67108864,131072,24.6984,0,98.7934
boram,0,0,0,32,67108864,262144,25.8021,0,103.208
boram,0,0,0,32,67108864,524288,28.3947,0,113.579
boram,0,0,0,32,67108864,1048576,33.4927,0,133.971
boram,0,0,0,32,67108864,2097152,39.6976,0,158.791
boram,0,0,0,32,67108864,4194304,52.4324,0,209.729
boram,0,0,0,32,67108864,8388608,74.4233,0,297.693
boram,0,0,0,32,67108864,16777216,104.124,0,416.496
boram,0,0,0,32,67108864,33554432,105.021,0,420.084
poram,0,0,0,32,67108864,1,27.9209,0,282.984
poram,0,0,0,32,67108864,2,49.1954,0,196.782
poram,0,0,0,32,67108864,4,92.1958,0,368.783
poram,0,0,0,32,67108864,8,176.638,0,706.551
poram,0,0,0,32,67108864,16,338.364,0,1353.45
poram,0,0,0,32,67108864,32,636.852,0,2547.41
poram,0,0,0,32,67108864,64,1210.23,0,4840.93
poram,0,0,0,32,67108864,128,2249.24,0,8996.98
poram,0,0,0,32,67108864,256,4114.78,0,16459.1
