test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,1,1,32,67108864,1,0.102547,0,0.410187
boram,0,1,1,32,67108864,2,0.138497,0,0.55399
boram,0,1,1,32,67108864,4,0.143369,0,0.573478
boram,0,1,1,32,67108864,8,0.14689,0,0.587562
boram,0,1,1,32,67108864,16,0.146322,0,0.585288
boram,0,1,1,32,67108864,32,0.156058,0,0.624234
boram,0,1,1,32,67108864,64,0.155586,0,0.622346
boram,0,1,1,32,67108864,128,0.159259,0,0.637035
boram,0,1,1,32,67108864,256,0.153717,0,0.61487
boram,0,1,1,32,67108864,512,0.158949,0,0.635797
boram,0,1,1,32,67108864,1024,0.16939,0,0.677562
boram,0,1,1,32,67108864,2048,0.175053,0,0.700214
boram,0,1,1,32,67108864,4096,0.191262,0,0.765048
boram,0,1,1,32,67108864,8192,0.219806,0,0.879224
boram,0,1,1,32,67108864,16384,0.270617,0,1.08247
boram,0,1,1,32,67108864,32768,0.376066,0,1.50426
boram,0,1,1,32,67108864,65536,0.527766,0,2.11107
boram,0,1,1,32,67108864,131072,0.794493,0,3.17797
boram,0,1,1,32,67108864,262144,1.76546,0,7.06184
boram,0,1,1,32,67108864,524288,3.18368,0,12.7347
boram,0,1,1,32,67108864,1048576,5.34475,0,21.379
boram,0,1,1,32,67108864,2097152,10.445,0,41.7801
boram,0,1,1,32,67108864,4194304,15.9332,0,63.7327
boram,0,1,1,32,67108864,8388608,28.0535,0,112.214
boram,0,1,1,32,67108864,16777216,43.1529,0,172.612
boram,0,1,1,32,67108864,33554432,55.1048,0,220.419
poram,0,1,1,32,67108864,1,0.100834,0,0.403336
poram,0,1,1,32,67108864,2,0.285614,0,1.14246
poram,0,1,1,32,67108864,4,0.607344,0,2.42938
poram,0,1,1,32,67108864,8,1.24423,0,4.97693
poram,0,1,1,32,67108864,16,2.3285,0,9.31398
poram,0,1,1,32,67108864,32,4.49413,0,17.9765
poram,0,1,1,32,67108864,64,8.51206,0,34.0483
poram,0,1,1,32,67108864,128,16.462,0,65.8482
poram,0,1,1,32,67108864,256,32.3078,0,129.231
poram,0,1,1,32,67108864,512,63.3794,0,253.518
poram,0,1,1,32,67108864,1024,122.693,0,490.771
poram,0,1,1,32,67108864,2048,243.268,0,973.073
poram,0,1,1,32,67108864,4096,483.953,0,1935.81
poram,0,1,1,32,67108864,8192,975.79,0,3903.16
poram,0,1,1,32,67108864,16384,1911.52,0,7646.06
poram,0,1,1,32,67108864,32768,3757.11,0,15028.5
