test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,1,0,32,67108864,1,1.5769,0,6.3076
boram,0,1,0,32,67108864,2,1.5017,0,6.00682
boram,0,1,0,32,67108864,4,1.43449,0,5.73796
boram,0,1,0,32,67108864,8,1.41471,0,5.65885
boram,0,1,0,32,67108864,16,1.39308,0,5.57233
boram,0,1,0,32,67108864,32,1.52349,0,6.09396
boram,0,1,0,32,67108864,64,1.49243,0,5.96973
boram,0,1,0,32,67108864,128,1.44787,0,5.7915
boram,0,1,0,32,67108864,256,1.43564,0,5.74257
boram,0,1,0,32,67108864,512,1.38893,0,5.5557
boram,0,1,0,32,67108864,1024,1.43286,0,5.73144
boram,0,1,0,32,67108864,2048,1.47396,0,5.89585
boram,0,1,0,32,67108864,4096,1.48719,0,5.94877
boram,0,1,0,32,67108864,8192,1.48515,0,5.94061
boram,0,1,0,32,67108864,16384,1.56051,0,6.24204
boram,0,1,0,32,67108864,32768,1.67732,0,6.70926
boram,0,1,0,32,67108864,65536,1.85627,0,7.42508
boram,0,1,0,32,67108864,131072,2.21027,0,8.84107
boram,0,1,0,32,67108864,262144,3.03835,0,12.1534
boram,0,1,0,32,67108864,524288,4.78681,0,19.1472
boram,0,1,0,32,67108864,1048576,7.52326,0,30.093
boram,0,1,0,32,67108864,2097152,12.0574,0,48.2295
boram,0,1,0,32,67108864,4194304,20.7839,0,83.1357
boram,0,1,0,32,67108864,8388608,35.47,0,141.88
boram,0,1,0,32,67108864,16777216,52.9853,0,211.941
boram,0,1,0,32,67108864,33554432,58.0529,0,232.212
poram,0,1,0,32,67108864,1,1.69601,0,6.78405
poram,0,1,0,32,67108864,2,3.15933,0,12.6373
poram,0,1,0,32,67108864,4,5.91897,0,23.6759
poram,0,1,0,32,67108864,8,11.3919,0,45.5674
poram,0,1,0,32,67108864,16,21.333,0,85.3322
poram,0,1,0,32,67108864,32,41.0841,0,164.336
poram,0,1,0,32,67108864,64,77.7926,0,311.171
poram,0,1,0,32,67108864,128,140.816,0,563.265
poram,0,1,0,32,67108864,256,261.718,0,1046.87
