test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,1,1,32,67108864,1,0.100265,0,0.401063
boram,0,1,1,32,67108864,2,0.123243,0,0.492973
boram,0,1,1,32,67108864,4,0.131974,0,0.527896
boram,0,1,1,32,67108864,8,0.131311,0,0.525245
boram,0,1,1,32,67108864,16,0.135701,0,0.542806
boram,0,1,1,32,67108864,32,0.125499,0,0.501997
boram,0,1,1,32,67108864,64,0.128007,0,0.512031
boram,0,1,1,32,67108864,128,0.143788,0,0.575154
boram,0,1,1,32,67108864,256,0.129883,0,0.519534
boram,0,1,1,32,67108864,512,0.135921,0,0.543684
boram,0,1,1,32,67108864,1024,0.135822,0,0.543289
boram,0,1,1,32,67108864,2048,0.162404,0,0.649615
boram,0,1,1,32,67108864,4096,0.184723,0,0.738894
boram,0,1,1,32,67108864,8192,0.186948,0,0.747792
boram,0,1,1,32,67108864,16384,0.237217,0,0.948869
boram,0,1,1,32,67108864,32768,0.342489,0,1.36996
boram,0,1,1,32,67108864,65536,0.506371,0,2.02549
boram,0,1,1,32,67108864,131072,0.776801,0,3.10721
boram,0,1,1,32,67108864,262144,1.62186,0,6.48745
boram,0,1,1,32,67108864,524288,3.46214,0,13.8486
boram,0,1,1,32,67108864,1048576,5.17564,0,20.7026
boram,0,1,1,32,67108864,2097152,9.54917,0,38.1967
boram,0,1,1,32,67108864,4194304,17.6637,0,70.6548
boram,0,1,1,32,67108864,8388608,26.5468,0,106.187
boram,0,1,1,32,67108864,16777216,44.505,0,178.02
boram,0,1,1,32,67108864,33554432,52.4731,0,209.892
poram,0,1,1,32,67108864,1,0.121043,0,0.484173
poram,0,1,1,32,67108864,2,0.249492,0,0.997967
poram,0,1,1,32,67108864,4,0.539684,0,2.15874
poram,0,1,1,32,67108864,8,1.05034,0,4.20137
poram,0,1,1,32,67108864,16,2.12805,0,8.51221
poram,0,1,1,32,67108864,32,4.14395,0,16.5758
poram,0,1,1,32,67108864,64,8.16901,0,32.6761
poram,0,1,1,32,67108864,128,16.1601,0,64.6403
poram,0,1,1,32,67108864,256,31.9181,0,127.673
poram,0,1,1,32,67108864,512,61.149,0,244.596
poram,0,1,1,32,67108864,1024,122.164,0,488.657
poram,0,1,1,32,67108864,2048,246.569,0,986.277
poram,0,1,1,32,67108864,4096,490.633,0,1962.53
poram,0,1,1,32,67108864,8192,980.348,0,3921.39
poram,0,1,1,32,67108864,16384,1902.49,0,7609.94
poram,0,1,1,32,67108864,32768,3763.92,0,15055.7
poram,0,1,1,32,67108864,65536,7465.87,0,29863.5
poram,0,1,1,32,67108864,131072,14823,0,59292.1
poram,0,1,1,32,67108864,262144,29634.3,0,118537
