test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,8388608,24,1,0,0,0,0,0,0,305.209576,2281701104.000000,0,4787.532106
osm,1,1,0,1,4,8388608,24,1,1,0.000002,0.000000,0.339978,116144.000000,29035.000000,0,0,1.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,2,0.000003,0.000000,0.331494,117232.000000,29306.000000,0,0,2.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,4,0.000006,0.000000,0.339502,121584.000000,30392.000000,0,0,4.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,8,0.000013,0.000000,0.362106,132464.000000,33108.000000,0,0,8.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,16,0.000027,0.000000,0.360021,169184.000000,42280.000000,0,0,16.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,32,0.000054,0.000000,0.432253,235280.000000,58788.000000,0,0,32.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,64,0.000105,0.000000,0.461419,368016.000000,91940.000000,0,0,64.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,128,0.000245,0.000000,0.596717,619616.000000,154776.000000,0,0,128.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,256,0.000568,0.000000,0.833007,1097248.000000,274056.000000,0,0,256.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,512,0.001313,0.000000,1.245939,2015792.000000,503436.000000,0,0,512.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,1024,0.003076,0.000000,2.171788,3689952.000000,921464.000000,0,0,1024.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,2048,0.007385,0.000000,3.829707,6792112.000000,1695980.000000,0,0,2048.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,4096,0.017349,0.000000,6.860347,12420608.000000,3101056.000000,0,0,4096.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,8192,0.041570,0.000000,12.080773,22487600.000000,5613708.000000,0,0,8192.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,16384,0.098717,0.000000,23.462368,40672704.000000,10151792.000000,0,0,16384.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,32768,0.231597,0.000000,40.397765,72341392.000000,18052580.000000,0,0,32768.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,65536,0.537419,0.000000,73.425297,126862160.000000,31650004.000000,0,0,65536.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,131072,1.278007,0.000000,127.461618,218501952.000000,54494416.000000,0,0,131072.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,262144,3.108159,0.000000,216.624372,366389168.000000,91335148.000000,0,0,262144.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,524288,7.003087,0.000000,363.149342,594793280.000000,148174032.000000,0,0,524288.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,1048576,17.196273,0.000000,563.983391,921905648.000000,229427836.000000,0,0,1048576.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,2097152,38.537330,0.000000,0,0,0,0,0,2097152.000000,4787.532106
osm,1,1,0,1,4,8388608,24,1,4194304,105.089871,0.000000,0,0,0,0,0,4194304.000000,4787.532106
